"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Drømtorp videregående skole","Alle utdanningsprogram","551","239","312","544","225","319","575","254","321","563","255","308","536","241","295","524","246","278","541","251","290","580","248","332","578","238","340","587","272","315","579","286","293","576","269","307","591","281","310","576","280","296"
32,"Drømtorp videregående skole","Studieforberedende","135","58","77","141","66","75","163","72","91","173","63","110","203","89","114","214","118","96","247","127","120","239","110","129","238","98","140","241","110","131","238","122","116","233","105","128","266","114","152","251","117","134"
32,"Drømtorp videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","35","24","99","64","35","138","79","59","131","73","58","122","62","60","124","69","55","118","59","59","120","59","61","126","55","71","116","58","58"
32,"Drømtorp videregående skole","Påbygging til generell studiekompetanse","86","32","54","90","41","49","113","52","61","136","45","91","85","25","60","84","40","44","107","46","61","107","36","71","114","34","80","116","40","76","119","62","57","113","46","67","140","59","81","135","59","76"
32,"Drømtorp videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","45","24","21","45","21","24","44","16","28","34","15","19","56","26","30","31","14","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Studiespesialisering","4","2","2","6","4","2","6","4","2","3","3",NA,"3","3",NA,NA,NA,NA,"2","2",NA,"1","1",NA,"2","2",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Yrkesfaglig","416","181","235","403","159","244","412","182","230","390","192","198","333","152","181","310","128","182","294","124","170","341","138","203","340","140","200","346","162","184","341","164","177","343","164","179","325","167","158","325","163","162"
32,"Drømtorp videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","9","6","30","16","14","31","17","14","43","19","24","21","6","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Helse- og oppvekstfag","131","27","104","101","16","85","106","26","80","88","22","66","124","22","102","165","33","132","159","37","122","174","39","135","174","33","141","168","34","134","152","30","122","146","31","115","126","26","100","139","32","107"
32,"Drømtorp videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","33","6","71","63","8","79","67","12","88","71","17","86","72","14","88","78","10"
32,"Drømtorp videregående skole","Medier og kommunikasjon (gammel ordning)","146","60","86","156","55","101","175","75","100","168","83","85","61","29","32","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Restaurant- og matfag","5","2","3","6","1","5","3","1","2","4","1","3","1","1",NA,"2","2",NA,"4","3","1","4","3","1","3","2","1","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Drømtorp videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","39","18","104","63","41","110","67","43","109","62","47","113","69","44","98","53","45"
32,"Drømtorp videregående skole","Service og samferdsel","134","92","42","140","87","53","127","79","48","130","86","44","132","91","41","112","76","36","100","67","33","120","77","43","46","27","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
