"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Eidsvoll videregående skole","Alle utdanningsprogram","667","393","274","695","392","303","695","399","296","697","388","309","699","411","288","648","389","259","624","394","230","674","426","248","682","419","263","675","404","271","696","409","287","724","410","314","735","446","289","792","500","292"
32,"Eidsvoll videregående skole","Studieforberedende","403","203","200","419","200","219","412","195","217","412","192","220","394","196","198","376","191","185","347","190","157","328","173","155","352","183","169","360","176","184","398","198","200","424","206","218","407","216","191","426","238","188"
32,"Eidsvoll videregående skole","Idrettsfag","158","106","52","165","105","60","169","110","59","172","101","71","159","99","60","146","85","61","153","95","58","141","89","52","160","98","62","161","96","65","159","92","67","164","97","67","167","111","56","170","113","57"
32,"Eidsvoll videregående skole","Påbygging til generell studiekompetanse","30","13","17","30","14","16","29","15","14","31","12","19","29","12","17","28","9","19","27","12","15","13","6","7","28","17","11","23","8","15","29","13","16","28","7","21","27","8","19","30","17","13"
32,"Eidsvoll videregående skole","Studiespesialisering","215","84","131","224","81","143","214","70","144","209","79","130","206","85","121","202","97","105","167","83","84","174","78","96","164","68","96","176","72","104","210","93","117","232","102","130","213","97","116","226","108","118"
32,"Eidsvoll videregående skole","Yrkesfaglig","264","190","74","276","192","84","283","204","79","285","196","89","305","215","90","272","198","74","277","204","73","346","253","93","330","236","94","315","228","87","298","211","87","300","204","96","328","230","98","366","262","104"
32,"Eidsvoll videregående skole","Bygg- og anleggsteknikk","28","28",NA,"41","40","1","28","28",NA,"27","26","1","46","45","1","50","50",NA,"67","63","4","87","83","4","77","73","4","75","74","1","79","79",NA,"82","80","2","81","79","2","106","105","1"
32,"Eidsvoll videregående skole","Elektro og datateknologi","49","49",NA,"42","40","2","58","56","2","56","55","1","63","63",NA,"60","59","1","67","66","1","69","69",NA,"69","69",NA,"68","64","4","52","48","4","55","53","2","55","52","3","58","56","2"
32,"Eidsvoll videregående skole","Helse- og oppvekstfag","62","7","55","61","5","56","56","8","48","62","9","53","71","10","61","77","11","66","76","20","56","115","38","77","111","31","80","101","30","71","94","20","74","99","16","83","116","25","91","122","24","98"
32,"Eidsvoll videregående skole","Restaurant- og matfag","1","1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Eidsvoll videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Eidsvoll videregående skole","Service og samferdsel","59","43","16","77","56","21","76","53","23","64","39","25","64","43","21","25","21","4","14","9","5","13","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Eidsvoll videregående skole","Teknologi- og industrifag","65","62","3","54","50","4","64","58","6","76","67","9","61","54","7","60","57","3","53","46","7","62","55","7","73","63","10","66","57","9","71","63","8","64","55","9","76","74","2","80","77","3"
