"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Frogn videregående skole","Alle utdanningsprogram","672","331","341","672","350","322","640","320","320","645","356","289","649","354","295","649","341","308","671","351","320","630","343","287","660","341","319","656","344","312","613","329","284","598","352","246","596","347","249","595","321","274"
32,"Frogn videregående skole","Studieforberedende","541","241","300","565","276","289","545","258","287","556","293","263","552","292","260","526","268","258","540","264","276","524","269","255","561","278","283","561","278","283","524","270","254","518","300","218","519","298","221","503","264","239"
32,"Frogn videregående skole","Idrettsfag","105","65","40","112","68","44","89","49","40","85","49","36","115","59","56","93","49","44","99","50","49","73","46","27","71","39","32","79","50","29","82","50","32","84","60","24","82","52","30","73","40","33"
32,"Frogn videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"20","15","5","26","13","13","31","20","11","26","15","11","31","12","19","51","24","27","42","19","23","53","25","28","50","24","26","43","27","16","51","28","23","53","30","23","50","31","19"
32,"Frogn videregående skole","Studiespesialisering","436","176","260","433","193","240","430","196","234","440","224","216","411","218","193","402","207","195","390","190","200","409","204","205","437","214","223","432","204","228","399","193","206","383","212","171","384","216","168","380","193","187"
32,"Frogn videregående skole","Yrkesfaglig","131","90","41","107","74","33","95","62","33","89","63","26","97","62","35","123","73","50","131","87","44","106","74","32","99","63","36","95","66","29","89","59","30","80","52","28","77","49","28","92","57","35"
32,"Frogn videregående skole","Bygg- og anleggsteknikk","5","5",NA,"4","4",NA,"3","3",NA,"3","3",NA,"5","5",NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Design og håndverk","7",NA,"7","6",NA,"6","6",NA,"6","5","1","4",NA,NA,NA,"6","1","5","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Elektro og datateknologi","20","19","1","16","16",NA,"13","13",NA,"9","9",NA,"11","11",NA,"12","12",NA,"4","4",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Helse- og oppvekstfag","13","2","11","9","2","7","13","3","10","9","1","8","12","3","9","13","4","9","8","3","5","5","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Restaurant- og matfag","5","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","37","20","95","66","29","89","59","30","80","52","28","77","49","28","92","57","35"
32,"Frogn videregående skole","Service og samferdsel","64","46","18","64","44","20","57","40","17","59","45","14","66","40","26","82","46","36","108","73","35","93","64","29","42","26","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Frogn videregående skole","Teknologi- og industrifag","17","15","2","7","7",NA,"3","3",NA,"4","4",NA,"3","3",NA,NA,NA,NA,"8","7","1","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
