"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Holmen skole","Alle utdanningsprogram","71","49","22","68","47","21","73","50","23","87","57","30","83","51","32","72","38","34","75","46","29","65","42","23","65","37","28","75","47","28","86","47","39","84","37","47","85","36","49","83","38","45"
32,"Holmen skole","Studieforberedende","10","8","2","10","10",NA,"16","13","3","23","14","9","24","12","12","15","6","9","17","10","7","15","8","7","13","6","7","15","8","7","17","7","10","20","8","12","14","7","7","16","7","9"
32,"Holmen skole","Studiespesialisering","10","8","2","10","10",NA,"16","13","3","23","14","9","24","12","12","15","6","9","17","10","7","15","8","7","13","6","7","15","8","7","17","7","10","20","8","12","14","7","7","16","7","9"
32,"Holmen skole","Yrkesfaglig","61","41","20","58","37","21","57","37","20","64","43","21","59","39","20","57","32","25","58","36","22","50","34","16","52","31","21","60","39","21","69","40","29","64","29","35","71","29","42","67","31","36"
32,"Holmen skole","Design og håndverk","18","6","12","13","4","9","15","6","9","14","6","8","15","5","10","13","4","9","20","9","11","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Holmen skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","5","8","17","5","12","25","6","19","23","1","22","24","4","20","24","6","18"
32,"Holmen skole","Restaurant- og matfag","21","16","5","18","10","8","16","10","6","21","13","8","18","12","6","19","9","10","17","9","8","13","9","4","17","10","7","18","13","5","16","12","4","16","9","7","22","11","11","18","8","10"
32,"Holmen skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","8","6","12","10","2","16","10","6","14","11","3","15","8","7","14","7","7"
32,"Holmen skole","Service og samferdsel","13","10","3","15","11","4","14","10","4","19","14","5","17","13","4","15","9","6","12","9","3","12","8","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Holmen skole","Teknologi- og industrifag","9","9",NA,"12","12",NA,"12","11","1","10","10",NA,"9","9",NA,"10","10",NA,"9","9",NA,"10","10",NA,"8","8",NA,"13","11","2","12","12",NA,"11","8","3","10","6","4","11","10","1"
