"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Hvam videregående skole","Alle utdanningsprogram","326","159","167","327","152","175","362","158","204","388","179","209","411","181","230","436","190","246","446","181","265","420","172","248","467","186","281","456","184","272","466","202","264","409","159","250","415","180","235","411","186","225"
32,"Hvam videregående skole","Studieforberedende","111","62","49","133","66","67","141","64","77","181","86","95","242","111","131","219","113","106","217","110","107","235","112","123","238","118","120","240","117","123","240","130","110","203","105","98","213","120","93","205","124","81"
32,"Hvam videregående skole","Idrettsfag","70","43","27","74","46","28","102","49","53","128","64","64","153","77","76","132","78","54","138","82","56","141","81","60","148","90","58","140","87","53","127","88","39","91","65","26","108","86","22","112","96","16"
32,"Hvam videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","11","10","41","19","22","51","22","29","52","22","30","49","20","29","61","25","36","70","34","36","72","32","40","64","30","34","52","23","29"
32,"Hvam videregående skole","Påbygging til generell studiekompetanse","28","13","15","24","5","19","19","7","12","24","11","13","30","8","22","16","4","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Hvam videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","13","6","7","14","7","7","15","8","7","16","8","8","18","12","6","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Hvam videregående skole","Studieforberedende Vg3 Naturbruk",NA,NA,NA,"21","8","13","5",NA,"5","13","3","10","20","3","17","15","5","10","28","6","22","42","9","33","41","8","33","39","5","34","42","7","35","40","8","32","41","4","37","41","5","36"
32,"Hvam videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Hvam videregående skole","Yrkesfaglig","215","97","118","194","86","108","221","94","127","207","93","114","169","70","99","217","77","140","229","71","158","185","60","125","229","68","161","216","67","149","226","72","154","206","54","152","202","60","142","206","62","144"
32,"Hvam videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","9","3","17","14","3","10","10",NA,"9","7","2","12","10","2"
32,"Hvam videregående skole","Medier og kommunikasjon (gammel ordning)","61","31","30","61","31","30","61","33","28","51","29","22","21","12","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Hvam videregående skole","Naturbruk","154","66","88","133","55","78","160","61","99","156","64","92","148","58","90","217","77","140","229","71","158","185","60","125","229","68","161","204","58","146","209","58","151","196","44","152","193","53","140","194","52","142"
