"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Jessheim videregående skole","Alle utdanningsprogram","1112","555","557","1152","561","591","1203","591","612","1207","581","626","1219","582","637","1421","622","799","1542","688","854","1615","659","956","1513","625","888","1431","584","847","1412","605","807","1401","614","787","1495","616","879","1560","635","925"
32,"Jessheim videregående skole","Studieforberedende","707","292","415","730","299","431","778","325","453","784","323","461","775","324","451","947","388","559","1043","438","605","1097","401","696","1014","366","648","966","333","633","957","360","597","943","376","567","996","381","615","995","370","625"
32,"Jessheim videregående skole","Idrettsfag","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Jessheim videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","5","23","50","15","35","82","18","64","83","17","66","87","20","67","83","15","68","81","13","68","86","13","73","84","13","71","86","15","71"
32,"Jessheim videregående skole","Musikk, dans og drama","90","37","53","82","35","47","83","33","50","91","39","52","90","38","52","116","47","69","128","57","71","154","52","102","179","64","115","166","50","116","162","54","108","146","53","93","161","47","114","154","46","108"
32,"Jessheim videregående skole","Påbygging til generell studiekompetanse","116","59","57","108","52","56","99","57","42","91","40","51","88","43","45","188","78","110","232","98","134","235","79","156","112","30","82","108","33","75","112","39","73","113","55","58","111","44","67","121","46","75"
32,"Jessheim videregående skole","Studiespesialisering","427","186","241","468","198","270","514","219","295","527","226","301","523","232","291","570","244","326","600","265","335","625","253","372","636","252","384","609","235","374","602","254","348","598","255","343","640","277","363","634","263","371"
32,"Jessheim videregående skole","Studiespesialisering med formgivning","73","9","64","72","14","58","82","16","66","75","18","57","46","6","40","23","4","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Jessheim videregående skole","Yrkesfaglig","405","263","142","422","262","160","425","266","159","423","258","165","444","258","186","474","234","240","499","250","249","518","258","260","499","259","240","465","251","214","455","245","210","458","238","220","499","235","264","565","265","300"
32,"Jessheim videregående skole","Bygg- og anleggsteknikk","52","52",NA,"54","54",NA,"51","51",NA,"45","44","1","29","27","2","15","15",NA,"14","12","2","14","14",NA,"16","16",NA,"14","13","1","16","16",NA,"14","13","1","15","15",NA,"27","23","4"
32,"Jessheim videregående skole","Design og håndverk","15","2","13","14","2","12","14","2","12","15","1","14","3","1","2","1","1",NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Jessheim videregående skole","Elektro og datateknologi","44","44",NA,"45","42","3","46","43","3","43","41","2","45","42","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,"1","1",NA
32,"Jessheim videregående skole","Helse- og oppvekstfag","98","5","93","111","15","96","114","20","94","119","13","106","149","16","133","193","22","171","198","23","175","211","23","188","201","43","158","189","48","141","164","27","137","153","21","132","184","19","165","218","17","201"
32,"Jessheim videregående skole","Naturbruk","2","2",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Jessheim videregående skole","Restaurant- og matfag","1","1",NA,"2","2",NA,"4","3","1","7","3","4","6","2","4","9","4","5","7","4","3","5","3","2","2","1","1","3","1","2","5","3","2","3","1","2","1","1",NA,NA,NA,NA
32,"Jessheim videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","67","46","174","109","65","171","113","58","179","103","76","185","100","85","194","113","81"
32,"Jessheim videregående skole","Service og samferdsel","102","74","28","102","59","43","107","67","40","105","72","33","124","86","38","187","125","62","215","149","66","225","157","68","97","70","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Jessheim videregående skole","Teknologi- og industrifag","91","83","8","93","87","6","88","79","9","89","84","5","88","84","4","69","67","2","63","61","2","63","61","2","68","60","8","85","80","5","99","86","13","109","100","9","112","98","14","125","111","14"
