"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Kjelle videregående skole","Alle utdanningsprogram","144","103","41","143","108","35","145","117","28","134","105","29","128","86","42","141","99","42","161","112","49","168","122","46","174","124","50","177","121","56","190","136","54","174","127","47","197","144","53","217","148","69"
32,"Kjelle videregående skole","Studieforberedende","15","8","7","7","5","2","13","6","7","6","6",NA,"7","3","4","6","2","4","15","1","14","10","5","5","11","6","5","14","2","12","15","6","9","10","4","6","13","5","8","13","5","8"
32,"Kjelle videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1","2","1","1",NA,NA,NA
32,"Kjelle videregående skole","Studieforberedende Vg3 Naturbruk","15","8","7","7","5","2","13","6","7","6","6",NA,"7","3","4","5","1","4","15","1","14","10","5","5","11","6","5","14","2","12","14","6","8","9","4","5","11","4","7","13","5","8"
32,"Kjelle videregående skole","Yrkesfaglig","129","95","34","136","103","33","132","111","21","128","99","29","121","83","38","135","97","38","146","111","35","158","117","41","163","118","45","163","119","44","175","130","45","164","123","41","184","139","45","204","143","61"
32,"Kjelle videregående skole","Bygg- og anleggsteknikk","46","46",NA,"46","45","1","43","43",NA,"33","32","1","30","29","1","40","39","1","49","48","1","53","51","2","56","54","2","69","66","3","77","75","2","67","65","2","80","79","1","76","71","5"
32,"Kjelle videregående skole","Naturbruk","35","18","17","41","30","11","40","34","6","40","29","11","39","18","21","41","21","20","49","32","17","52","28","24","54","28","26","50","27","23","55","30","25","60","34","26","60","30","30","83","41","42"
32,"Kjelle videregående skole","Restaurant- og matfag","10","3","7","12","3","9","12","6","6","13","7","6","13","7","6","12","8","4","13","6","7","12","8","4","11","8","3","11","5","6","11","6","5","8","6","2","9","7","2","10","6","4"
32,"Kjelle videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","13","12","12","2","10","17","7","10","14","6","8","17","7","10","16","10","6"
32,"Kjelle videregående skole","Service og samferdsel","23","16","7","20","12","8","19","13","6","25","17","8","24","15","9","25","12","13","22","12","10","23","13","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Kjelle videregående skole","Teknologi- og industrifag","15","12","3","17","13","4","18","15","3","17","14","3","15","14","1","17","17",NA,"13","13",NA,"18","17","1","17","15","2","21","19","2","15","12","3","15","12","3","18","16","2","19","15","4"
