"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Lillestrøm videregående skole","Alle utdanningsprogram","796","304","492","791","292","499","847","292","555","836","290","546","876","326","550","874","306","568","872","317","555","863","311","552","858","327","531","869","341","528","850","357","493","834","347","487","888","361","527","926","377","549"
32,"Lillestrøm videregående skole","Studieforberedende","736","283","453","732","272","460","787","271","516","778","262","516","850","313","537","874","306","568","872","317","555","863","311","552","858","327","531","867","341","526","850","357","493","834","347","487","888","361","527","926","377","549"
32,"Lillestrøm videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","11","19","57","21","36","91","37","54","91","34","57","87","39","48","87","43","44","80","41","39","83","34","49","91","32","59","89","32","57"
32,"Lillestrøm videregående skole","Musikk, dans og drama","177","59","118","173","55","118","176","53","123","174","47","127","170","56","114","169","50","119","169","54","115","172","51","121","170","56","114","176","62","114","169","61","108","171","56","115","170","57","113","175","65","110"
32,"Lillestrøm videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lillestrøm videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","31","15","16","24","12","12","29","12","17","28","10","18","30","12","18","25","16","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lillestrøm videregående skole","Studiespesialisering","528","209","319","535","205","330","582","206","376","576","205","371","620","234","386","623","219","404","612","226","386","599","226","373","601","232","369","604","236","368","601","255","346","580","257","323","627","272","355","662","280","382"
32,"Lillestrøm videregående skole","Yrkesfaglig","60","21","39","59","20","39","60","21","39","58","28","30","26","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lillestrøm videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lillestrøm videregående skole","Medier og kommunikasjon (gammel ordning)","60","21","39","59","20","39","60","21","39","58","28","30","26","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lillestrøm videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
