"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Lørenskog videregående skole","Alle utdanningsprogram","828","386","442","799","371","428","799","350","449","797","351","446","797","365","432","928","432","496","748","340","408","778","308","470","812","319","493","843","349","494","848","341","507","922","391","531","1030","405","625","1195","500","695"
32,"Lørenskog videregående skole","Studieforberedende","736","343","393","726","350","376","728","328","400","734","331","403","732","347","385","861","415","446","683","315","368","687","277","410","691","286","405","714","318","396","721","311","410","779","363","416","869","372","497","1014","463","551"
32,"Lørenskog videregående skole","Idrettsfag","155","99","56","154","97","57","157","99","58","150","86","64","162","100","62","159","97","62","161","92","69","168","85","83","168","93","75","168","94","74","161","89","72","163","90","73","163","90","73","164","99","65"
32,"Lørenskog videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","4","25","53","12","41","77","21","56","84","21","63","86","18","68","80","14","66","82","15","67","88","15","73","90","14","76","119","30","89"
32,"Lørenskog videregående skole","Påbygging til generell studiekompetanse","97","38","59","78","41","37","63","29","34","65","35","30","57","22","35","214","93","121","41","16","25","33","11","22","30","17","13","29","11","18","29","8","21","26","22","4","55","16","39","51","22","29"
32,"Lørenskog videregående skole","Studiespesialisering","402","189","213","415","194","221","426","180","246","440","184","256","436","200","236","404","198","206","404","186","218","402","160","242","407","158","249","437","199","238","449","199","250","502","236","266","561","252","309","680","312","368"
32,"Lørenskog videregående skole","Studiespesialisering med formgivning","82","17","65","79","18","61","82","20","62","79","26","53","48","21","27","31","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lørenskog videregående skole","Yrkesfaglig","92","43","49","73","21","52","71","22","49","63","20","43","65","18","47","67","17","50","65","25","40","91","31","60","121","33","88","129","31","98","127","30","97","143","28","115","161","33","128","181","37","144"
32,"Lørenskog videregående skole","Design og håndverk","30","4","26","30","1","29","29","1","28","29","1","28","28","2","26","31","2","29","30","7","23","56","12","44","44","8","36","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Lørenskog videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","4","40","76","9","67","87","13","74","100","11","89","116","10","106","123","1","122"
32,"Lørenskog videregående skole","Restaurant- og matfag","62","39","23","43","20","23","42","21","21","34","19","15","37","16","21","36","15","21","35","18","17","35","19","16","33","21","12","41","21","20","40","17","23","43","17","26","45","23","22","58","36","22"
