"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Mailand videregående skole","Alle utdanningsprogram","768","328","440","810","319","491","824","314","510","817","338","479","859","366","493","826","358","468","876","382","494","900","375","525","870","376","494","845","364","481","807","345","462","791","370","421","841","390","451","852","401","451"
32,"Mailand videregående skole","Studieforberedende","473","208","265","509","219","290","513","206","307","509","211","298","581","242","339","607","265","342","649","292","357","667","294","373","621","262","359","585","245","340","545","224","321","524","257","267","558","260","298","520","249","271"
32,"Mailand videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","13","16","54","31","23","86","49","37","88","51","37","84","43","41","82","46","36","66","32","34","53","25","28","64","23","41","45","13","32"
32,"Mailand videregående skole","Påbygging til generell studiekompetanse","31","12","19","42","14","28","38","10","28","30","11","19","36","10","26","39","21","18","29","11","18","31","10","21","29","8","21","29","11","18","29","6","23","30","10","20","57","17","40","56","19","37"
32,"Mailand videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","30","15","15","18","8","10","22","8","14","25","11","14","24","13","11","20","5","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Mailand videregående skole","Studiespesialisering","412","181","231","449","197","252","453","188","265","454","189","265","492","206","286","494","208","286","534","232","302","548","233","315","508","211","297","474","188","286","450","186","264","441","222","219","437","220","217","419","217","202"
32,"Mailand videregående skole","Yrkesfaglig","295","120","175","301","100","201","311","108","203","308","127","181","278","124","154","219","93","126","227","90","137","233","81","152","249","114","135","260","119","141","262","121","141","267","113","154","283","130","153","332","152","180"
32,"Mailand videregående skole","Design og håndverk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","10","5","24","15","9","30","20","10","35","21","14","13","9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Mailand videregående skole","Helse- og oppvekstfag","132","27","105","132","18","114","134","16","118","126","20","106","134","26","108","119","18","101","121","12","109","122","7","115","121","14","107","134","25","109","135","30","105","140","24","116","131","18","113","154","19","135"
32,"Mailand videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","36","3","69","63","6","68","57","11","68","57","11","72","61","11","90","77","13"
32,"Mailand videregående skole","Medier og kommunikasjon (gammel ordning)","90","39","51","95","34","61","99","40","59","102","51","51","47","26","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Mailand videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","29","15","57","31","26","59","34","25","59","32","27","80","51","29","88","56","32"
32,"Mailand videregående skole","Service og samferdsel","73","54","19","74","48","26","78","52","26","80","56","24","82","62","20","76","60","16","76","58","18","76","53","23","32","26","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
