"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Nannestad videregående skole","Alle utdanningsprogram","687","306","381","707","333","374","727","325","402","775","368","407","809","379","430","804","380","424","804","361","443","879","403","476","893","382","511","787","396","391","758","398","360","774","407","367","776","378","398","801","378","423"
32,"Nannestad videregående skole","Studieforberedende","356","175","181","372","193","179","399","195","204","424","203","221","481","231","250","524","267","257","521","248","273","502","249","253","489","236","253","458","250","208","448","240","208","440","237","203","451","227","224","450","217","233"
32,"Nannestad videregående skole","Idrettsfag","87","60","27","91","69","22","91","66","25","94","64","30","92","54","38","91","53","38","91","50","41","91","51","40","90","48","42","88","50","38","88","51","37","85","59","26","85","53","32","87","44","43"
32,"Nannestad videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","33","25","104","56","48","142","80","62","140","84","56","111","65","46","84","46","38","76","39","37","73","40","33","78","38","40","76","40","36"
32,"Nannestad videregående skole","Påbygging til generell studiekompetanse","31","8","23","33","13","20","30","13","17","32","12","20","31","12","19","29","6","23","29","8","21","30","12","18","31","6","25","30","12","18","30","12","18","30","9","21","30","10","20","30","14","16"
32,"Nannestad videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","32","15","17","28","15","13","35","15","20","28","15","13","35","18","17","37","25","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nannestad videregående skole","Studiespesialisering","206","92","114","220","96","124","243","101","142","270","112","158","265","114","151","263","127","136","259","110","149","241","102","139","257","117","140","256","142","114","254","138","116","252","129","123","258","126","132","257","119","138"
32,"Nannestad videregående skole","Yrkesfaglig","331","131","200","335","140","195","328","130","198","351","165","186","328","148","180","280","113","167","283","113","170","377","154","223","404","146","258","329","146","183","310","158","152","334","170","164","325","151","174","351","161","190"
32,"Nannestad videregående skole","Helse- og oppvekstfag","119","6","113","110","6","104","121","6","115","118","15","103","124","21","103","121","12","109","127","12","115","186","25","161","194","16","178","133","14","119","108","9","99","122","11","111","118","11","107","138","17","121"
32,"Nannestad videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","23","6","56","46","10","60","50","10","58","51","7","62","55","7","65","53","12"
32,"Nannestad videregående skole","Medier og kommunikasjon (gammel ordning)","91","41","50","94","44","50","87","39","48","84","50","34","47","31","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nannestad videregående skole","Restaurant- og matfag","53","34","19","55","35","20","56","40","16","81","48","33","94","49","45","96","50","46","93","55","38","107","63","44","104","54","50","93","52","41","90","59","31","96","66","30","90","50","40","93","50","43"
32,"Nannestad videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","26","12","47","34","13","52","40","12","58","42","16","55","35","20","55","41","14"
32,"Nannestad videregående skole","Service og samferdsel","68","50","18","76","55","21","64","45","19","68","52","16","63","47","16","63","51","12","63","46","17","84","66","18","39","27","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
