"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Nes videregående skole","Alle utdanningsprogram","543","293","250","531","294","237","499","259","240","517","283","234","463","251","212","485","265","220","508","275","233","517","285","232","532","281","251","508","268","240","487","257","230","501","282","219","503","294","209","519","280","239"
32,"Nes videregående skole","Studieforberedende","325","148","177","340","163","177","359","171","188","372","185","187","321","164","157","324","167","157","329","157","172","321","151","170","336","151","185","317","146","171","297","136","161","305","150","155","293","147","146","298","133","165"
32,"Nes videregående skole","Idrettsfag","61","45","16","60","41","19","58","43","15","64","40","24","67","44","23","75","51","24","70","44","26","70","42","28","72","39","33","67","40","27","69","46","23","73","54","19","76","46","30","76","38","38"
32,"Nes videregående skole","Påbygging til generell studiekompetanse","46","15","31","44","19","25","69","26","43","74","32","42","46","16","30","41","24","17","52","12","40","42","13","29","50","12","38","51","21","30","47","16","31","62","25","37","58","28","30","67","26","41"
32,"Nes videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","12","10","2","11","11",NA,"11","9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nes videregående skole","Studiespesialisering","206","78","128","225","92","133","221","93","128","234","113","121","208","104","104","208","92","116","207","101","106","209","96","113","214","100","114","199","85","114","181","74","107","170","71","99","159","73","86","155","69","86"
32,"Nes videregående skole","Yrkesfaglig","218","145","73","191","131","60","140","88","52","145","98","47","142","87","55","161","98","63","179","118","61","196","134","62","196","130","66","191","122","69","190","121","69","196","132","64","210","147","63","221","147","74"
32,"Nes videregående skole","Bygg- og anleggsteknikk","42","41","1","44","43","1","31","28","3","27","27",NA,"26","24","2","26","26",NA,"35","33","2","47","44","3","51","47","4","45","39","6","46","39","7","53","47","6","66","63","3","60","58","2"
32,"Nes videregående skole","Elektro og datateknologi","56","54","2","67","66","1","49","49",NA,"61","60","1","57","55","2","72","68","4","78","75","3","82","81","1","78","76","2","80","73","7","79","71","8","82","78","4","79","75","4","79","75","4"
32,"Nes videregående skole","Helse- og oppvekstfag","77","21","56","66","12","54","60","11","49","57","11","46","59","8","51","63","4","59","66","10","56","67","9","58","67","7","60","66","10","56","65","11","54","61","7","54","65","9","56","82","14","68"
32,"Nes videregående skole","Medier og kommunikasjon (gammel ordning)","43","29","14","14","10","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
