"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Nesbru videregående skole","Alle utdanningsprogram","798","448","350","784","442","342","762","455","307","765","440","325","757","443","314","742","424","318","736","451","285","789","495","294","896","565","331","882","537","345","856","523","333","867","534","333","869","536","333","851","532","319"
32,"Nesbru videregående skole","Studieforberedende","553","304","249","539","298","241","537","320","217","569","318","251","603","333","270","640","334","306","628","347","281","664","373","291","719","396","323","716","384","332","685","364","321","690","366","324","680","354","326","642","332","310"
32,"Nesbru videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","13","19","60","37","23","92","58","34","83","51","32","77","47","30","26","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesbru videregående skole","Påbygging til generell studiekompetanse","27","10","17","27","3","24","27","9","18","27","4","23","27","17","10","28","12","16","30","19","11","25","10","15","34","24","10","29","20","9","30","13","17","30","15","15","32","17","15","30","20","10"
32,"Nesbru videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","27","16","11","29","17","12","28","20","8","36","26","10","21","11","10","32","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesbru videregående skole","Studiespesialisering","499","278","221","483","278","205","482","291","191","506","288","218","523","292","231","520","275","245","506","270","236","556","312","244","608","325","283","661","351","310","655","351","304","660","351","309","648","337","311","612","312","300"
32,"Nesbru videregående skole","Yrkesfaglig","245","144","101","245","144","101","225","135","90","196","122","74","154","110","44","102","90","12","108","104","4","125","122","3","177","169","8","166","153","13","171","159","12","177","168","9","189","182","7","209","200","9"
32,"Nesbru videregående skole","Bygg- og anleggsteknikk","94","90","4","85","82","3","79","76","3","79","75","4","82","80","2","84","83","1","98","97","1","117","116","1","170","165","5","158","147","11","158","149","9","165","159","6","178","173","5","200","193","7"
32,"Nesbru videregående skole","Design og håndverk","60","8","52","57","5","52","40","6","34","18","2","16","13","3","10","7","1","6","2","2",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesbru videregående skole","Medier og kommunikasjon (gammel ordning)","85","43","42","97","55","42","98","51","47","91","43","48","53","24","29","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesbru videregående skole","Restaurant- og matfag","3",NA,"3","4",NA,"4","7","1","6","7","1","6","5","2","3","6","2","4","6","3","3","3","1","2","3",NA,"3","4","2","2","7","4","3","6","4","2","6","5","1","6","5","1"
32,"Nesbru videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4",NA,"4","4",NA,"6","6",NA,"6","5","1","5","4","1","3","2","1"
32,"Nesbru videregående skole","Service og samferdsel","3","3",NA,"2","2",NA,"1","1",NA,"1","1",NA,"1","1",NA,"2","2",NA,"2","2",NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
