"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Nesodden videregående skole","Alle utdanningsprogram","624","342","282","610","340","270","604","327","277","561","323","238","522","286","236","507","273","234","514","266","248","509","288","221","516","291","225","472","271","201","462","271","191","460","271","189","510","287","223","501","286","215"
32,"Nesodden videregående skole","Studieforberedende","438","239","199","427","237","190","431","230","201","405","228","177","408","211","197","401","200","201","391","189","202","359","189","170","363","192","171","350","195","155","334","190","144","326","183","143","374","202","172","352","192","160"
32,"Nesodden videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","17","9","37","17","20","49","24","25","26","10","16","13","7","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesodden videregående skole","Påbygging til generell studiekompetanse","45","25","20","17","8","9","26","11","15","25","13","12","18","5","13","16","7","9","24","13","11","20","13","7","21","7","14","28","16","12","27","13","14","25","14","11","49","26","23","28","15","13"
32,"Nesodden videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","45","23","22","38","16","22","42","18","24","24","11","13","29","11","18","21","11","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesodden videregående skole","Studiespesialisering","348","191","157","372","213","159","363","201","162","356","204","152","335","178","157","327","165","162","318","152","166","313","166","147","329","178","151","321","178","143","307","177","130","301","169","132","325","176","149","324","177","147"
32,"Nesodden videregående skole","Yrkesfaglig","186","103","83","183","103","80","173","97","76","156","95","61","114","75","39","106","73","33","123","77","46","150","99","51","153","99","54","122","76","46","128","81","47","134","88","46","136","85","51","149","94","55"
32,"Nesodden videregående skole","Design og håndverk","2","1","1","2","1","1","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","12","3","12","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Nesodden videregående skole","Elektro og datateknologi","58","57","1","57","54","3","58","55","3","56","55","1","56","51","5","61","55","6","56","55","1","55","55",NA,"55","52","3","53","51","2","48","46","2","52","50","2","60","59","1","66","65","1"
32,"Nesodden videregående skole","Helse- og oppvekstfag","37","8","29","40","8","32","43","14","29","33","9","24","37","13","24","45","18","27","67","22","45","80","32","48","72","24","48","52","13","39","55","15","40","52","11","41","54","8","46","60","12","48"
32,"Nesodden videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","12","2","17","12","5","25","20","5","30","27","3","22","18","4","23","17","6"
32,"Nesodden videregående skole","Medier og kommunikasjon (gammel ordning)","89","37","52","84","40","44","70","27","43","67","31","36","21","11","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
