"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Rosenvilde videregående skole","Alle utdanningsprogram","693","241","452","735","281","454","783","299","484","788","299","489","762","280","482","768","280","488","743","289","454","754","292","462","750","264","486","775","256","519","777","277","500","752","291","461","708","293","415","729","298","431"
32,"Rosenvilde videregående skole","Studieforberedende","457","142","315","515","189","326","552","197","355","571","203","368","584","209","375","646","225","421","626","238","388","631","246","385","622","228","394","638","214","424","632","219","413","608","230","378","583","235","348","578","230","348"
32,"Rosenvilde videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","11","46","104","26","78","140","29","111","137","29","108","134","27","107","155","32","123","155","37","118","157","37","120","144","32","112","135","30","105"
32,"Rosenvilde videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","28","29","90","35","55","114","62","52","99","59","40","86","44","42","57","25","32","57","21","36","57","23","34","67","31","36","69","22","47"
32,"Rosenvilde videregående skole","Påbygging til generell studiekompetanse","88","31","57","95","43","52","107","38","69","99","42","57","86","42","44","88","36","52","58","18","40","56","25","31","57","21","36","58","20","38","60","21","39","57","20","37","54","20","34","51","13","38"
32,"Rosenvilde videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","28","15","13","30","13","17","25","15","10","30","16","14","15","13","2","30","14","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rosenvilde videregående skole","Studiespesialisering","200","67","133","245","96","149","282","108","174","301","112","189","308","103","205","303","108","195","314","129","185","339","133","206","345","136","209","368","137","231","360","140","220","337","150","187","318","152","166","323","165","158"
32,"Rosenvilde videregående skole","Studiespesialisering med formgivning","141","29","112","145","37","108","138","36","102","141","33","108","61","12","49","31","6","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rosenvilde videregående skole","Yrkesfaglig","236","99","137","220","92","128","231","102","129","217","96","121","178","71","107","122","55","67","117","51","66","123","46","77","128","36","92","137","42","95","145","58","87","144","61","83","125","58","67","151","68","83"
32,"Rosenvilde videregående skole","Helse- og oppvekstfag","70","8","62","70","21","49","77","16","61","67","9","58","73","16","57","74","26","48","69","22","47","72","16","56","80","12","68","92","21","71","80","20","60","63","13","50","52","11","41","75","17","58"
32,"Rosenvilde videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","14","2","29","22","7","24","17","7","26","21","5"
32,"Rosenvilde videregående skole","Medier og kommunikasjon (gammel ordning)","123","60","63","113","46","67","106","62","44","100","58","42","54","26","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rosenvilde videregående skole","Restaurant- og matfag","43","31","12","37","25","12","48","24","24","50","29","21","51","29","22","48","29","19","48","29","19","51","30","21","48","24","24","45","21","24","49","24","25","52","26","26","49","30","19","50","30","20"
