"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Rud videregående skole","Alle utdanningsprogram","722","410","312","729","399","330","681","386","295","695","388","307","731","389","342","743","401","342","871","505","366","754","413","341","749","386","363","743","367","376","747","351","396","709","332","377","702","325","377","732","337","395"
32,"Rud videregående skole","Studieforberedende","325","148","177","322","132","190","296","131","165","310","133","177","303","123","180","300","126","174","321","148","173","302","133","169","309","136","173","290","112","178","330","137","193","316","116","200","321","116","205","323","119","204"
32,"Rud videregående skole","Musikk, dans og drama","232","98","134","237","90","147","228","87","141","230","87","143","228","82","146","222","75","147","223","88","135","232","88","144","233","88","145","225","78","147","229","83","146","235","78","157","236","79","157","245","80","165"
32,"Rud videregående skole","Påbygging til generell studiekompetanse","89","48","41","80","40","40","63","40","23","76","44","32","70","39","31","75","49","26","70","38","32","69","45","24","75","48","27","65","34","31","101","54","47","81","38","43","85","37","48","78","39","39"
32,"Rud videregående skole","Studiespesialisering","4","2","2","5","2","3","5","4","1","4","2","2","5","2","3","3","2","1","28","22","6","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rud videregående skole","Yrkesfaglig","397","262","135","407","267","140","385","255","130","385","255","130","428","266","162","443","275","168","550","357","193","452","280","172","440","250","190","453","255","198","417","214","203","393","216","177","381","209","172","409","218","191"
32,"Rud videregående skole","Bygg- og anleggsteknikk","37","37",NA,"44","42","2","27","27",NA,"24","24",NA,"28","27","1","27","27",NA,"51","49","2","29","29",NA,"3","3",NA,"5","5",NA,NA,NA,NA,"2","2",NA,"1","1",NA,NA,NA,NA
32,"Rud videregående skole","Design og håndverk","64","24","40","59","16","43","55","16","39","50","11","39","53","10","43","50","16","34","55","23","32","60","17","43","23","6","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rud videregående skole","Elektro og datateknologi","108","101","7","120","117","3","134","131","3","134","133","1","131","127","4","133","127","6","149","140","9","149","138","11","144","134","10","153","148","5","126","123","3","117","116","1","118","114","4","127","121","6"
32,"Rud videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","6","23","45","7","38","56","6","50","64","6","58","52","7","45","52","4","48"
32,"Rud videregående skole","Helse- og oppvekstfag","107","20","87","105","18","87","93","15","78","95","14","81","124","18","106","146","28","118","199","60","139","135","29","106","142","23","119","138","20","118","134","20","114","104","22","82","108","19","89","117","16","101"
32,"Rud videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","7","10","35","1","34","31","4","27","32","5","27","32","5","27","31","3","28"
32,"Rud videregående skole","Naturbruk","1",NA,"1","2","1","1","4","3","1","6","6",NA,"6","6",NA,"6","6",NA,"7","5","2","3","1","2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rud videregående skole","Restaurant- og matfag","2","2",NA,"4","2","2","5","2","3","7","3","4","8","3","5","6","1","5","5","1","4","7","2","5","10","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rud videregående skole","Teknologi- og industrifag","78","78",NA,"73","71","2","67","61","6","69","64","5","78","75","3","75","70","5","84","79","5","69","64","5","70","67","3","77","74","3","70","61","9","74","65","9","70","63","7","82","74","8"
