"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Rælingen videregående skole","Alle utdanningsprogram","574","349","225","581","359","222","638","380","258","607","364","243","628","384","244","594","366","228","560","331","229","544","343","201","562","317","245","570","337","233","563","306","257","578","286","292","584","298","286","551","287","264"
32,"Rælingen videregående skole","Studieforberedende","458","265","193","466","274","192","512","298","214","494","279","215","511","294","217","478","270","208","449","245","204","445","265","180","468","251","217","477","266","211","474","248","226","483","233","250","475","235","240","438","226","212"
32,"Rælingen videregående skole","Idrettsfag","222","131","91","221","134","87","226","134","92","217","141","76","221","151","70","215","146","69","201","134","67","197","130","67","179","114","65","167","114","53","150","91","59","161","98","63","143","90","53","132","96","36"
32,"Rælingen videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"29","18","11","29","11","18","30","17","13","44","18","26","53","23","30","41","23","18","53","16","37","51","22","29","73","33","40","70","27","43","79","37","42","79","36","43"
32,"Rælingen videregående skole","Studiespesialisering","236","134","102","245","140","105","257","146","111","248","127","121","260","126","134","219","106","113","195","88","107","207","112","95","236","121","115","259","130","129","251","124","127","252","108","144","253","108","145","227","94","133"
32,"Rælingen videregående skole","Yrkesfaglig","116","84","32","115","85","30","126","82","44","113","85","28","117","90","27","116","96","20","111","86","25","99","78","21","94","66","28","93","71","22","89","58","31","95","53","42","109","63","46","113","61","52"
32,"Rælingen videregående skole","Design og håndverk","1","1",NA,"1","1",NA,"2","1","1","3","2","1","3","2","1","3","2","1","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rælingen videregående skole","Elektro og datateknologi","30","28","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rælingen videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,"3",NA,"3","4","1","3","5","2","3","6","2","4","6","3","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rælingen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","34","16","93","71","22","89","58","31","95","53","42","109","63","46","113","61","52"
32,"Rælingen videregående skole","Service og samferdsel","85","55","30","113","83","30","120","80","40","105","81","24","108","85","23","107","92","15","102","81","21","97","77","20","44","32","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Rælingen videregående skole","Teknologi- og industrifag",NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
