"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Røyken videregående skole","Alle utdanningsprogram","796","435","361","791","437","354","793","452","341","745","419","326","807","454","353","804","438","366","803","459","344","754","429","325","737","424","313","744","416","328","735","394","341","707","384","323","667","362","305","650","384","266"
32,"Røyken videregående skole","Studieforberedende","491","237","254","509","250","259","518","274","244","484","250","234","558","279","279","560","274","286","557","286","271","512","260","252","452","236","216","454","226","228","459","207","252","442","190","252","389","177","212","354","187","167"
32,"Røyken videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","3","14","33","10","23","47","13","34","46","17","29","41","14","27","53","17","36","54","13","41","47","6","41","35","7","28","28","6","22"
32,"Røyken videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","16","13","41","26","15","69","49","20","51","36","15","50","28","22","40","22","18","38","17","21","37","15","22","23","7","16","10","3","7"
32,"Røyken videregående skole","Påbygging til generell studiekompetanse","57","27","30","61","24","37","56","27","29","59","25","34","59","27","32","58","29","29","50","23","27","52","28","24","52","23","29","45","26","19","60","21","39","58","25","33","58","24","34","62","30","32"
32,"Røyken videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","8","2","6","6","3","3","12","2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Røyken videregående skole","Studiespesialisering","371","191","180","399","209","190","418","230","188","390","208","182","431","224","207","418","205","213","391","201","190","363","179","184","309","171","138","316","161","155","307","156","151","300","144","156","273","139","134","254","148","106"
32,"Røyken videregående skole","Studiespesialisering med formgivning","55","17","38","43","14","29","32","15","17","35","17","18","22","9","13","10","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Røyken videregående skole","Yrkesfaglig","305","198","107","282","187","95","275","178","97","261","169","92","249","175","74","244","164","80","246","173","73","242","169","73","285","188","97","290","190","100","276","187","89","265","194","71","278","185","93","296","197","99"
32,"Røyken videregående skole","Bygg- og anleggsteknikk","74","71","3","68","68",NA,"57","57",NA,"41","40","1","45","45",NA,"43","42","1","45","44","1","42","40","2","42","39","3","50","47","3","48","47","1","53","52","1","54","54",NA,"44","42","2"
32,"Røyken videregående skole","Design og håndverk","23","5","18","14","2","12","15","2","13","8",NA,"8","10","3","7","15","3","12","14","4","10","14","4","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Røyken videregående skole","Elektro og datateknologi","90","86","4","88","86","2","88","86","2","90","88","2","89","87","2","87","84","3","87","85","2","84","82","2","88","83","5","87","84","3","76","72","4","90","90",NA,"81","79","2","100","96","4"
32,"Røyken videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,"15","15","3","12","17",NA,"17","6",NA,"6","21","1","20","21","3","18"
32,"Røyken videregående skole","Helse- og oppvekstfag","74","13","61","72","12","60","73","12","61","77","15","62","79","21","58","70","13","57","69","12","57","70","14","56","92","22","70","95","20","75","81","22","59","59","13","46","69","14","55","72","13","59"
32,"Røyken videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","15",NA,"25","24","1","25","23","2","27","26","1","23","23",NA,"25","24","1"
32,"Røyken videregående skole","Medier og kommunikasjon (gammel ordning)","29","10","19","27","7","20","26","7","19","29","11","18","11","6","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Røyken videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","13","4","18","12","6","29","23","6","30","13","17","30","14","16","34","19","15"
32,"Røyken videregående skole","Service og samferdsel","15","13","2","13","12","1","16","14","2","16","15","1","15","13","2","29","22","7","31","28","3","32","29","3","16","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
