"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Skedsmo videregående skole","Alle utdanningsprogram","1067","647","420","1034","615","419","1117","697","420","1154","738","416","1105","727","378","1100","709","391","1110","740","370","1088","701","387","1083","711","372","1100","711","389","1112","720","392","1211","750","461","1270","763","507","1295","814","481"
32,"Skedsmo videregående skole","Studieforberedende","519","233","286","535","233","302","619","298","321","633","320","313","596","314","282","604","317","287","612","335","277","584","290","294","591","299","292","588","290","298","602","289","313","645","297","348","683","307","376","702","321","381"
32,"Skedsmo videregående skole","Påbygging til generell studiekompetanse","120","60","60","86","31","55","84","40","44","89","43","46","75","41","34","79","40","39","79","46","33","77","29","48","85","41","44","87","40","47","80","35","45","86","33","53","83","36","47","87","38","49"
32,"Skedsmo videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","18","9","9","15","10","5","18","8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Skedsmo videregående skole","Studiespesialisering","381","164","217","434","192","242","517","250","267","544","277","267","521","273","248","525","277","248","533","289","244","507","261","246","506","258","248","501","250","251","522","254","268","559","264","295","600","271","329","615","283","332"
32,"Skedsmo videregående skole","Yrkesfaglig","548","414","134","499","382","117","498","399","99","521","418","103","509","413","96","496","392","104","498","405","93","504","411","93","492","412","80","512","421","91","510","431","79","566","453","113","587","456","131","593","493","100"
32,"Skedsmo videregående skole","Bygg- og anleggsteknikk","175","173","2","146","145","1","152","149","3","152","151","1","145","143","2","142","140","2","152","146","6","161","160","1","167","164","3","181","174","7","189","181","8","217","207","10","240","230","10","250","242","8"
32,"Skedsmo videregående skole","Design og håndverk","79","13","66","89","20","69","93","28","65","106","33","73","95","29","66","104","29","75","100","34","66","95","27","68","26","8","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Skedsmo videregående skole","Elektro og datateknologi","179","167","12","188","176","12","202","192","10","209","200","9","222","210","12","211","201","10","217","207","10","216","205","11","215","207","8","215","199","16","221","208","13","220","206","14","213","195","18","244","232","12"
32,"Skedsmo videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","19","37","85","30","55","74","25","49","101","21","80","112","19","93","85","14","71"
32,"Skedsmo videregående skole","Medier og kommunikasjon (gammel ordning)","77","43","34","47","27","20","21","14","7","18","16","2","15","14","1","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Skedsmo videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,"5","4","1","1","1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Skedsmo videregående skole","Restaurant- og matfag","30","13","17","26","12","14","19","11","8","24","10","14","23","11","12","21","9","12","17","11","6","23","12","11","28","14","14","26","14","12","20","12","8","22","14","8","16","8","8","11","3","8"
32,"Skedsmo videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","1","6","5","1","6","5","1","6","4","2","3","2","1"
32,"Skedsmo videregående skole","Service og samferdsel","4","1","3",NA,NA,NA,"6","1","5","5","1","4","4","1","3","7","2","5","12","7","5","9","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Skedsmo videregående skole","Teknologi- og industrifag","4","4",NA,"3","2","1",NA,NA,NA,"6","6",NA,"5","5",NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
