"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Strømmen videregående skole","Alle utdanningsprogram","602","315","287","600","312","288","569","293","276","662","329","333","618","318","300","647","338","309","677","360","317","872","421","451","652","330","322","685","354","331","661","342","319","654","345","309","624","337","287","623","339","284"
32,"Strømmen videregående skole","Studieforberedende","44","4","40","68","13","55","49","8","41","63","10","53","56","15","41","60","10","50","61","13","48","59","13","46","59","7","52","59","17","42","60","16","44","61","16","45",NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Påbygging til generell studiekompetanse","44","4","40","68","13","55","48","7","41","63","10","53","56","15","41","60","10","50","61","13","48","59","13","46","59","7","52","59","17","42","60","16","44","61","16","45",NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Yrkesfaglig","558","311","247","532","299","233","520","285","235","599","319","280","562","303","259","587","328","259","616","347","269","813","408","405","593","323","270","626","337","289","601","326","275","593","329","264","624","337","287","623","339","284"
32,"Strømmen videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1","1",NA,"2","2",NA,"3","3",NA,"2","2",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Design og håndverk","60","3","57","58","2","56","56","3","53","51","4","47","65","5","60","60","6","54","54","6","48","17","3","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Elektro og datateknologi","134","131","3","148","143","5","146","136","10","168","156","12","145","141","4","155","148","7","161","153","8","207","197","10","146","140","6","160","150","10","159","152","7","158","154","4","174","168","6","182","171","11"
32,"Strømmen videregående skole","Helse- og oppvekstfag","205","35","170","183","30","153","181","24","157","240","27","213","214","30","184","228","39","189","254","53","201","452","85","367","309","56","253","326","61","265","301","53","248","293","47","246","315","44","271","306","42","264"
32,"Strømmen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA
32,"Strømmen videregående skole","Service og samferdsel","30","27","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Strømmen videregående skole","Teknologi- og industrifag","129","115","14","142","123","19","136","121","15","140","132","8","137","126","11","142","133","9","143","132","11","135","121","14","137","126","11","140","126","14","141","121","20","141","127","14","134","124","10","135","126","9"
