"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Sørumsand videregående skole","Alle utdanningsprogram","479","262","217","540","314","226","541","335","206","532","326","206","512","294","218","493","298","195","484","296","188","511","317","194","540","335","205","529","322","207","567","332","235","660","373","287","677","389","288","605","378","227"
32,"Sørumsand videregående skole","Studieforberedende","78","38","40","177","88","89","206","97","109","243","118","125","276","131","145","288","137","151","294","147","147","322","168","154","346","178","168","343","166","177","361","171","190","427","187","240","438","194","244","372","179","193"
32,"Sørumsand videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","19","21","47","23","24","67","29","38","65","30","35","72","27","45","54","21","33","61","31","30","63","37","26","57","24","33","46","20","26"
32,"Sørumsand videregående skole","Påbygging til generell studiekompetanse","55","25","30","87","38","49","68","31","37","64","31","33","28","15","13","29","13","16","31","16","15","29","12","17","29","15","14","56","30","26","54","25","29","58","25","33","56","31","25","63","36","27"
32,"Sørumsand videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","23","13","10","29","19","10","21","8","13","18","9","9","17","10","7","19","10","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Sørumsand videregående skole","Studiespesialisering",NA,NA,NA,"61","31","30","117","58","59","161","78","83","191","87","104","193","91","102","196","102","94","228","126","102","245","136","109","233","115","118","246","115","131","306","125","181","325","139","186","263","123","140"
32,"Sørumsand videregående skole","Yrkesfaglig","401","224","177","363","226","137","335","238","97","289","208","81","236","163","73","205","161","44","190","149","41","189","149","40","194","157","37","186","156","30","206","161","45","233","186","47","239","195","44","233","199","34"
32,"Sørumsand videregående skole","Design og håndverk","38","5","33","8","4","4","5",NA,"5","4","1","3","12","2","10","19","7","12","15","6","9","6","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Sørumsand videregående skole","Elektro og datateknologi","70","69","1","73","72","1","64","64",NA,"59","58","1","68","65","3","61","58","3","60","57","3","66","62","4","67","66","1","77","77",NA,"88","87","1","82","82",NA,"76","72","4","75","73","2"
32,"Sørumsand videregående skole","Medier og kommunikasjon (gammel ordning)","143","54","89","144","60","84","119","66","53","84","50","34","38","21","17","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Sørumsand videregående skole","Restaurant- og matfag","82","33","49","67","30","37","70","33","37","67","29","38","68","27","41","52","30","22","49","28","21","54","29","25","63","34","29","50","25","25","66","29","37","68","28","40","67","34","33","60","33","27"
32,"Sørumsand videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA
32,"Sørumsand videregående skole","Service og samferdsel","15","12","3","15","12","3","14","14",NA,"16","14","2","12","11","1","15","11","4","15","14","1","15","14","1","13","12","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Sørumsand videregående skole","Teknologi- og industrifag","53","51","2","56","48","8","63","61","2","59","56","3","38","37","1","54","51","3","51","44","7","48","41","7","51","45","6","59","54","5","52","45","7","82","76","6","96","89","7","98","93","5"
