"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Vestby videregående skole","Alle utdanningsprogram","673","404","269","664","403","261","623","359","264","597","334","263","615","361","254","536","338","198","591","387","204","608","406","202","648","402","246","591","371","220","599","384","215","602","376","226","642","409","233","662","413","249"
32,"Vestby videregående skole","Studieforberedende","308","161","147","303","153","150","301","146","155","290","148","142","322","161","161","273","141","132","298","153","145","293","157","136","329","149","180","312","152","160","302","159","143","299","152","147","311","166","145","306","151","155"
32,"Vestby videregående skole","Påbygging til generell studiekompetanse","54","28","26","44","23","21","34","13","21","27","12","15","34","26","8","29","15","14","31","12","19","33","18","15","35","11","24","28","13","15","27","19","8","26","10","16","34","20","14","26","15","11"
32,"Vestby videregående skole","Studiespesialisering","254","133","121","259","130","129","267","133","134","263","136","127","288","135","153","244","126","118","267","141","126","260","139","121","294","138","156","284","139","145","275","140","135","273","142","131","277","146","131","280","136","144"
32,"Vestby videregående skole","Yrkesfaglig","365","243","122","361","250","111","322","213","109","307","186","121","293","200","93","263","197","66","293","234","59","315","249","66","319","253","66","279","219","60","297","225","72","303","224","79","331","243","88","356","262","94"
32,"Vestby videregående skole","Bygg- og anleggsteknikk","159","155","4","174","169","5","141","134","7","102","90","12","105","97","8","123","116","7","149","139","10","166","157","9","183","171","12","170","155","15","179","162","17","180","165","15","202","182","20","210","188","22"
32,"Vestby videregående skole","Design og håndverk","45","3","42","41","2","39","38","3","35","35","2","33","18","1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Vestby videregående skole","Helse- og oppvekstfag","12","4","8","13","5","8","8",NA,"8","7","1","6","6","1","5","7","2","5","6","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Vestby videregående skole","Restaurant- og matfag","66","30","36","67","30","37","73","35","38","86","42","44","85","42","43","57","21","36","53","33","20","78","45","33","73","36","37","59","31","28","66","33","33","61","32","29","64","30","34","79","41","38"
32,"Vestby videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","20","11","50","33","17","52","30","22","62","27","35","65","31","34","67","33","34"
32,"Vestby videregående skole","Service og samferdsel","75","43","32","59","37","22","53","33","20","72","47","25","79","59","20","76","58","18","85","59","26","71","47","24","32","26","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Vestby videregående skole","Teknologi- og industrifag","8","8",NA,"7","7",NA,"9","8","1","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
