"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Ås videregående skole","Alle utdanningsprogram","1071","564","507","1046","552","494","1059","561","498","1137","580","557","1134","573","561","1200","605","595","1340","605","735","1354","620","734","1179","594","585","1183","595","588","1250","583","667","1345","632","713","1473","676","797","1514","687","827"
32,"Ås videregående skole","Studieforberedende","589","246","343","573","228","345","547","220","327","602","250","352","590","246","344","627","249","378","686","235","451","695","257","438","614","240","374","624","247","377","657","227","430","730","264","466","804","280","524","797","281","516"
32,"Ås videregående skole","Idrettsfag","73","55","18","71","52","19","75","44","31","84","54","30","89","58","31","85","57","28","81","46","35","87","59","28","83","54","29","85","58","27","93","58","35","92","62","30","98","58","40","92","56","36"
32,"Ås videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","4","18","46","7","39","65","8","57","66","13","53","68","12","56","71","15","56","74","5","69","80","12","68","82","14","68","83","18","65"
32,"Ås videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","1","4","3","1","3","2","1","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Påbygging til generell studiekompetanse","94","31","63","89","30","59","53","25","28","93","35","58","50","26","24","56","27","29","88","24","64","97","24","73","27","5","22","28","2","26","30","3","27","71","33","38","108","41","67","98","40","58"
32,"Ås videregående skole","Studiespesialisering","350","148","202","354","137","217","357","141","216","358","146","212","385","143","242","419","150","269","449","155","294","443","160","283","436","169","267","440","172","268","460","161","299","487","157","330","516","167","349","524","167","357"
32,"Ås videregående skole","Studiespesialisering med formgivning","72","12","60","59","9","50","62","10","52","67","15","52","39","11","28","17","5","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Yrkesfaglig","482","318","164","473","324","149","512","341","171","535","330","205","544","327","217","573","356","217","654","370","284","659","363","296","565","354","211","559","348","211","593","356","237","615","368","247","669","396","273","717","406","311"
32,"Ås videregående skole","Design og håndverk","53","8","45","48","9","39","44","5","39","48","7","41","71","8","63","90","14","76","85","15","70","78","14","64","30",NA,"30","6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Elektro og datateknologi","155","153","2","147","144","3","157","155","2","151","145","6","176","170","6","180","178","2","187","185","2","180","177","3","177","171","6","179","172","7","189","182","7","201","192","9","221","216","5","223","221","2"
32,"Ås videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","5","26","55","5","50","80","5","75","93","4","89","107","3","104","114","3","111"
32,"Ås videregående skole","Helse- og oppvekstfag","119","17","102","114","19","95","147","29","118","192","44","148","149","17","132","146","20","126","241","37","204","252","37","215","147","25","122","150","16","134","161","20","141","157","20","137","172","18","154","197","16","181"
32,"Ås videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","2","15","4","3","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Medier og kommunikasjon (gammel ordning)","11","9","2","13","13",NA,"9","8","1","14","12","2","10","8","2","7","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Naturbruk","5","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Service og samferdsel",NA,NA,NA,"3","3",NA,"6","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Ås videregående skole","Teknologi- og industrifag","139","129","10","148","136","12","149","139","10","130","122","8","138","124","14","150","139","11","141","133","8","149","135","14","163","151","12","165","152","13","162","148","14","164","152","12","169","159","10","183","166","17"
