"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Briskeby videregående skole","Alle utdanningsprogram","41","20","21","46","18","28","46","19","27","47","17","30","48","15","33","55","17","38","46","14","32","47","15","32","44","18","26","44","15","29","46","17","29","45","18","27","50","20","30","48","21","27"
33,"Briskeby videregående skole","Studieforberedende","34","15","19","38","15","23","35","12","23","32","10","22","29","10","19","29","9","20","27","7","20","32","8","24","29","12","17","25","7","18","27","9","18","28","10","18","26","10","16","22","11","11"
33,"Briskeby videregående skole","Idrettsfag","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA
33,"Briskeby videregående skole","Påbygging til generell studiekompetanse","7","3","4","6",NA,"6","6","1","5","7","1","6","4","1","3","6","3","3","6","2","4","13","3","10","13","6","7","4","1","3","4","2","2","9","4","5","8","3","5","9","5","4"
33,"Briskeby videregående skole","Studieforberedende Vg3 Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Briskeby videregående skole","Studiespesialisering","26","11","15","32","15","17","28","10","18","25","9","16","25","9","16","22","6","16","20","5","15","19","5","14","16","6","10","20","6","14","23","7","16","19","6","13","17","7","10","13","6","7"
33,"Briskeby videregående skole","Yrkesfaglig","7","5","2","8","3","5","11","7","4","15","7","8","19","5","14","26","8","18","19","7","12","15","7","8","15","6","9","19","8","11","19","8","11","17","8","9","24","10","14","26","10","16"
33,"Briskeby videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Briskeby videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","1","5","12","1","11","13",NA,"13","9","2","7","8","1","7","9","2","7","9","2","7","11","2","9","10","1","9","16","3","13","17","4","13"
33,"Briskeby videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","5","2","8","6","2","7","7",NA,"8","7","1","9","6","3"
33,"Briskeby videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Briskeby videregående skole","Service og samferdsel","7","5","2","8","3","5","10","6","4","9","6","3","7","4","3","13","8","5","10","5","5","7","6","1","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
