"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Buskerud videregående skole","Alle utdanningsprogram","699","365","334","657","347","310","662","344","318","649","332","317","653","337","316","651","351","300","615","333","282","615","330","285","598","319","279","594","324","270","592","318","274","646","344","302","642","344","298","639","344","295"
33,"Buskerud videregående skole","Studieforberedende","352","169","183","327","160","167","320","160","160","311","147","164","326","151","175","325","161","164","301","141","160","269","123","146","251","117","134","250","126","124","258","137","121","278","138","140","277","131","146","282","129","153"
33,"Buskerud videregående skole","Idrettsfag","88","54","34","81","54","27","79","56","23","72","53","19","81","55","26","83","56","27","80","48","32","68","45","23","58","39","19","58","41","17","64","47","17","68","50","18","73","58","15","73","55","18"
33,"Buskerud videregående skole","Påbygging til generell studiekompetanse","60","18","42","58","19","39","54","27","27","53","15","38","60","19","41","59","24","35","44","16","28","30","3","27","28","3","25","41","13","28","43","11","32","62","20","42","62","17","45","58","15","43"
33,"Buskerud videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","11","6","5",NA,NA,NA,"12","5","7","9","4","5","8","2","6","11","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Buskerud videregående skole","Studiespesialisering","193","91","102","188","87","101","175","72","103","177","75","102","177","75","102","172","79","93","177","77","100","171","75","96","165","75","90","151","72","79","151","79","72","148","68","80","142","56","86","151","59","92"
33,"Buskerud videregående skole","Yrkesfaglig","347","196","151","330","187","143","342","184","158","338","185","153","327","186","141","326","190","136","314","192","122","346","207","139","347","202","145","344","198","146","334","181","153","368","206","162","365","213","152","357","215","142"
33,"Buskerud videregående skole","Bygg- og anleggsteknikk","43","42","1","40","39","1","41","38","3","41","39","2","42","39","3","44","41","3","39","36","3","39","36","3","43","40","3","57","48","9","50","38","12","59","51","8","58","48","10","59","55","4"
33,"Buskerud videregående skole","Elektro og datateknologi","45","45",NA,"45","45",NA,"45","44","1","45","45",NA,"45","44","1","46","46",NA,"44","44",NA,"46","45","1","45","44","1","44","40","4","44","41","3","45","43","2","45","41","4","45","42","3"
33,"Buskerud videregående skole","Helse- og oppvekstfag","86","10","76","70","5","65","71","2","69","75","6","69","74","12","62","70","7","63","70","3","67","70","8","62","70","6","64","71","7","64","70","2","68","71","6","65","65","13","52","60","6","54"
33,"Buskerud videregående skole","Medier og kommunikasjon (gammel ordning)","27","7","20","27","9","18","29","9","20","28","10","18","15","6","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Buskerud videregående skole","Naturbruk","50","15","35","54","20","34","50","22","28","48","15","33","55","15","40","63","20","43","54","25","29","74","28","46","89","32","57","68","30","38","70","32","38","75","25","50","68","18","50","65","14","51"
33,"Buskerud videregående skole","Restaurant- og matfag","11","5","6","21","15","6","20","8","12","22","6","16","13","5","8","19","8","11","21","12","9","27","13","14","20","10","10","14","6","8","16","5","11","17","5","12","26","14","12","25","17","8"
33,"Buskerud videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","10","3","27","16","11","24","16","8","34","19","15","32","15","17","33","17","16"
33,"Buskerud videregående skole","Service og samferdsel","28","20","8","22","8","14","33","12","21","28","17","11","30","18","12","26","14","12","30","19","11","35","27","8","15","13","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Buskerud videregående skole","Teknologi- og industrifag","57","52","5","51","46","5","53","49","4","51","47","4","53","47","6","58","54","4","56","53","3","55","50","5","52","47","5","63","51","12","60","47","13","67","57","10","71","64","7","70","64","6"
