"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Drammen videregående skole","Alle utdanningsprogram","1236","556","680","1269","566","703","1240","558","682","1282","610","672","1288","600","688","1294","594","700","1277","592","685","1247","589","658","1260","569","691","1294","606","688","1300","597","703","1325","616","709","1365","627","738","1350","634","716"
33,"Drammen videregående skole","Studieforberedende","1145","513","632","1183","519","664","1149","507","642","1193","561","632","1198","557","641","1208","550","658","1193","547","646","1163","544","619","1176","531","645","1191","545","646","1198","541","657","1222","570","652","1258","571","687","1249","583","666"
33,"Drammen videregående skole","Idrettsfag","177","123","54","178","120","58","179","114","65","190","124","66","207","130","77","201","125","76","181","121","60","173","123","50","172","127","45","168","115","53","167","119","48","168","117","51","180","112","68","181","109","72"
33,"Drammen videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","7","20","54","12","42","84","19","65","84","19","65","87","21","66","86","20","66","87","17","70","81","14","67","89","15","74","88","17","71"
33,"Drammen videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA
33,"Drammen videregående skole","Studiespesialisering","898","380","518","933","387","546","889","377","512","925","416","509","910","407","503","926","408","518","928","407","521","906","402","504","915","381","534","937","410","527","944","405","539","973","439","534","989","444","545","979","456","523"
33,"Drammen videregående skole","Studiespesialisering med formgivning","70","10","60","72","12","60","81","16","65","78","21","57","54","13","41","27","5","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Drammen videregående skole","Yrkesfaglig","91","43","48","86","47","39","91","51","40","89","49","40","90","43","47","86","44","42","84","45","39","84","45","39","84","38","46","103","61","42","102","56","46","103","46","57","107","56","51","101","51","50"
33,"Drammen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","17","21","103","61","42","102","56","46","103","46","57","107","56","51","101","51","50"
33,"Drammen videregående skole","Service og samferdsel","91","43","48","86","47","39","91","51","40","89","49","40","90","43","47","86","44","42","84","45","39","84","45","39","46","21","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
