"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Gol vidaregåande skule","Alle utdanningsprogram","352","150","202","391","165","226","387","179","208","402","164","238","351","140","211","355","132","223","322","118","204","306","112","194","289","114","175","267","101","166","258","109","149","261","127","134","258","135","123","246","119","127"
33,"Gol vidaregåande skule","Studieforberedende","297","125","172","339","142","197","325","150","175","351","145","206","322","125","197","333","124","209","302","110","192","289","105","184","269","102","167","252","94","158","242","101","141","239","110","129","235","121","114","222","106","116"
33,"Gol vidaregåande skule","Idrettsfag","46","26","20","45","23","22","47","28","19","45","25","20","47","25","22","53","24","29","55","27","28","54","27","27","57","24","33","60","28","32","64","37","27","60","39","21","71","49","22","71","46","25"
33,"Gol vidaregåande skule","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","9","3","26","16","10","24","15","9","13","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gol vidaregåande skule","Musikk, dans og drama","32","11","21","41","6","35","39","8","31","37","5","32","31","4","27","31","4","27","26","6","20","26","6","20","23","6","17","20","5","15","9","2","7","8","2","6","6","2","4","1","1",NA
33,"Gol vidaregåande skule","Påbygging til generell studiekompetanse",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gol vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","9","3","6","12","7","5","1",NA,"1","12","6","6","9","4","5","11","4","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gol vidaregåande skule","Studiespesialisering","210","85","125","240","105","135","238","114","124","257","109","148","223","83","140","212","76","136","197","62","135","196","66","130","189","72","117","172","61","111","169","62","107","171","69","102","158","70","88","150","59","91"
33,"Gol vidaregåande skule","Yrkesfaglig","55","25","30","52","23","29","62","29","33","51","19","32","29","15","14","22","8","14","20","8","12","17","7","10","20","12","8","15","7","8","16","8","8","22","17","5","23","14","9","24","13","11"
33,"Gol vidaregåande skule","Design og håndverk","13","2","11","10","1","9","11",NA,"11","13",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gol vidaregåande skule","Medier og kommunikasjon (gammel ordning)","27","15","12","22","10","12","28","15","13","22","10","12","12","5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Gol vidaregåande skule","Restaurant- og matfag","15","8","7","20","12","8","23","14","9","16","9","7","17","10","7","22","8","14","20","8","12","17","7","10","20","12","8","15","7","8","16","8","8","22","17","5","23","14","9","24","13","11"
