"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Hønefoss videregående skole","Alle utdanningsprogram","573","312","261","531","308","223","523","297","226","555","300","255","575","313","262","568","318","250","592","336","256","615","351","264","661","382","279","679","391","288","671","366","305","683","369","314","677","371","306","696","385","311"
33,"Hønefoss videregående skole","Studieforberedende","116","37","79","106","46","60","106","39","67","132","51","81","176","69","107","187","71","116","215","94","121","219","93","126","221","88","133","226","77","149","233","79","154","230","70","160","228","73","155","225","80","145"
33,"Hønefoss videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","3","15","30","5","25","46","6","40","56","10","46","66","12","54","77","10","67","81","8","73","80","5","75","72","8","64","70","13","57"
33,"Hønefoss videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","12","17","58","24","34","84","41","43","85","41","44","79","43","36","74","35","39","78","38","40","85","38","47","86","34","52","81","29","52"
33,"Hønefoss videregående skole","Påbygging til generell studiekompetanse","60","24","36","60","31","29","59","25","34","75","37","38","74","38","36","60","29","31","79","44","35","75","41","34","76","33","43","75","32","43","74","33","41","65","27","38","70","31","39","74","38","36"
33,"Hønefoss videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","10","2","8","12","5","7","9","3","6","13","2","11","11","5","6","14","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Studiespesialisering",NA,NA,NA,"5","3","2","10","7","3","10","7","3","9","7","2","7","5","2","6","3","3","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Studiespesialisering med formgivning","46","11","35","29","7","22","28","4","24","34","5","29","35","4","31","18",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Yrkesfaglig","457","275","182","425","262","163","417","258","159","423","249","174","399","244","155","381","247","134","377","242","135","396","258","138","440","294","146","453","314","139","438","287","151","453","299","154","449","298","151","471","305","166"
33,"Hønefoss videregående skole","Bygg- og anleggsteknikk","57","55","2","65","64","1","58","58",NA,"56","56",NA,"55","53","2","58","54","4","60","56","4","73","71","2","91","89","2","100","94","6","99","91","8","104","98","6","102","98","4","94","89","5"
33,"Hønefoss videregående skole","Design og håndverk","55","1","54","55","5","50","50","5","45","64","5","59","57","8","49","46","7","39","43","7","36","44","6","38","22","1","21","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Elektro og datateknologi","88","85","3","81","79","2","89","83","6","89","83","6","87","84","3","91","86","5","90","83","7","90","85","5","86","80","6","86","83","3","74","70","4","86","77","9","87","80","7","94","84","10"
33,"Hønefoss videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","2","30","44","3","41","47","2","45","45","3","42","47","2","45","49","1","48"
33,"Hønefoss videregående skole","Helse- og oppvekstfag","100","18","82","87","17","70","86","16","70","78","4","74","74","7","67","79","15","64","69","5","64","74","7","67","74","10","64","73","13","60","78","11","67","80","7","73","73","7","66","76","5","71"
33,"Hønefoss videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","30","26","4","27","25","2","29","25","4","23","20","3","33","30","3"
33,"Hønefoss videregående skole","Medier og kommunikasjon (gammel ordning)","30","15","15","29","8","21","30","9","21","27","13","14","14","8","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Restaurant- og matfag","27","15","12","26","13","13","21","10","11","28","14","14","25","9","16","21","9","12","31","15","16","30","15","15","33","20","13","27","22","5","25","14","11","23","13","10","26","13","13","34","18","16"
33,"Hønefoss videregående skole","Service og samferdsel","29","27","2","28","27","1","26","24","2","30","30",NA,"28","24","4","29","25","4","29","27","2","30","25","5","30","26","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Hønefoss videregående skole","Teknologi- og industrifag","71","59","12","54","49","5","57","53","4","51","44","7","59","51","8","57","51","6","55","49","6","55","49","6","57","53","4","89","73","16","88","74","14","86","76","10","91","78","13","91","78","13"
