"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Kongsberg videregående skole","Alle utdanningsprogram","1235","658","577","1242","675","567","1234","698","536","1261","690","571","1260","710","550","1286","710","576","1240","641","599","1240","682","558","1243","712","531","1228","672","556","1248","674","574","1246","652","594","1262","629","633","1266","665","601"
33,"Kongsberg videregående skole","Studieforberedende","708","323","385","686","312","374","665","321","344","689","317","372","702","319","383","725","330","395","708","298","410","720","335","385","694","351","343","684","331","353","693","310","383","678","283","395","705","277","428","707","307","400"
33,"Kongsberg videregående skole","Idrettsfag","100","65","35","86","56","30","90","51","39","84","47","37","84","36","48","90","38","52","89","41","48","121","65","56","116","66","50","113","56","57","86","40","46","84","36","48","86","40","46","88","39","49"
33,"Kongsberg videregående skole","Musikk, dans og drama","59","30","29","55","22","33","41","16","25","47","19","28","61","24","37","76","29","47","73","31","42","75","33","42","67","31","36","62","23","39","67","24","43","55","21","34","57","15","42","69","17","52"
33,"Kongsberg videregående skole","Påbygging til generell studiekompetanse","87","31","56","90","26","64","90","34","56","90","30","60","86","39","47","98","53","45","102","47","55","98","39","59","86","45","41","82","33","49","88","32","56","87","30","57","88","21","67","81","42","39"
33,"Kongsberg videregående skole","Studiespesialisering","426","189","237","437","201","236","443","219","224","468","221","247","471","220","251","461","210","251","444","179","265","426","198","228","425","209","216","427","219","208","452","214","238","452","196","256","474","201","273","469","209","260"
33,"Kongsberg videregående skole","Studiespesialisering med formgivning","36","8","28","18","7","11","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Kongsberg videregående skole","Yrkesfaglig","527","335","192","556","363","193","569","377","192","572","373","199","558","391","167","561","380","181","532","343","189","520","347","173","549","361","188","544","341","203","555","364","191","568","369","199","557","352","205","559","358","201"
33,"Kongsberg videregående skole","Bygg- og anleggsteknikk","59","59",NA,"69","67","2","69","67","2","71","68","3","75","72","3","78","75","3","85","78","7","83","69","14","81","72","9","87","77","10","104","91","13","104","86","18","101","81","20","106","87","19"
33,"Kongsberg videregående skole","Design og håndverk","52","15","37","52","16","36","47","10","37","48","8","40","36","7","29","39","10","29","29","10","19","25","9","16","19","8","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Kongsberg videregående skole","Elektro og datateknologi","113","110","3","132","127","5","140","137","3","152","148","4","143","141","2","143","136","7","132","121","11","132","122","10","124","110","14","134","122","12","136","130","6","133","123","10","130","115","15","126","112","14"
33,"Kongsberg videregående skole","Helse- og oppvekstfag","111","6","105","114","12","102","117","18","99","116","16","100","111","16","95","118","20","98","114","23","91","106","20","86","111","17","94","108","12","96","105","13","92","115","17","98","106","16","90","102","14","88"
33,"Kongsberg videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","3","10","28","5","23","27","7","20","29","5","24","35","7","28","32","6","26"
33,"Kongsberg videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","14",NA,"25","23","2","27","21","6","31","24","7","31","25","6","25","21","4"
33,"Kongsberg videregående skole","Naturbruk","30","28","2","21","18","3","21","17","4","16","13","3","16","14","2","19","14","5","20","14","6","25","20","5","24","16","8","23","14","9","19","15","4","21","19","2","18","15","3","20","14","6"
33,"Kongsberg videregående skole","Restaurant- og matfag","22","15","7","25","15","10","27","14","13","27","12","15","28","20","8","21","13","8","22","9","13","21","14","7","19","12","7","26","11","15","20","9","11","25","12","13","23","10","13","24","12","12"
33,"Kongsberg videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","8","11","35","14","21","34","13","21","35","17","18","33","13","20","36","14","22"
33,"Kongsberg videregående skole","Service og samferdsel","58","26","32","61","34","27","59","32","27","56","30","26","60","40","20","56","35","21","50","26","24","48","26","22","28","19","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Kongsberg videregående skole","Teknologi- og industrifag","82","76","6","82","74","8","89","82","7","86","78","8","89","81","8","87","77","10","80","62","18","80","67","13","97","82","15","78","63","15","83","65","18","75","66","9","80","70","10","88","78","10"
