"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Lier videregående skole","Alle utdanningsprogram","423","170","253","447","197","250","463","201","262","436","208","228","449","210","239","442","202","240","450","202","248","498","238","260","500","233","267","517","217","300","510","207","303","481","219","262","481","217","264","484","216","268"
33,"Lier videregående skole","Studieforberedende","130","45","85","134","58","76","147","66","81","153","79","74","152","67","85","132","61","71","121","59","62","129","51","78","149","65","84","170","65","105","161","53","108","155","65","90","151","65","86","156","57","99"
33,"Lier videregående skole","Påbygging til generell studiekompetanse","118","39","79","119","51","68","123","47","76","121","54","67","123","42","81","104","37","67","105","45","60","122","45","77","148","64","84","170","65","105","161","53","108","155","65","90","151","65","86","156","57","99"
33,"Lier videregående skole","Studiespesialisering","12","6","6","15","7","8","24","19","5","32","25","7","29","25","4","28","24","4","16","14","2","7","6","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Lier videregående skole","Yrkesfaglig","293","125","168","313","139","174","316","135","181","283","129","154","297","143","154","310","141","169","329","143","186","369","187","182","351","168","183","347","152","195","349","154","195","326","154","172","330","152","178","328","159","169"
33,"Lier videregående skole","Design og håndverk","41","2","39","42","7","35","44","3","41","40","6","34","46","9","37","23","4","19","27","6","21","37","9","28","11","1","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Lier videregående skole","Elektro og datateknologi","45","44","1","58","57","1","60","59","1","60","60",NA,"60","60",NA,"60","58","2","76","66","10","91","81","10","91","84","7","84","78","6","84","80","4","86","81","5","82","80","2","83","80","3"
33,"Lier videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","13","19","34","8","26","30","8","22","27","4","23","27","9","18","9","9",NA
33,"Lier videregående skole","Helse- og oppvekstfag","136","23","113","141","29","112","143","22","121","129","22","107","139","34","105","175","40","135","170","32","138","172","46","126","166","29","137","170","28","142","165","22","143","149","30","119","150","22","128","154","19","135"
33,"Lier videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","5","3","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Lier videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","18","3","51","33","18","69","44","25","64","39","25","71","41","30","82","51","31"
33,"Lier videregående skole","Service og samferdsel","71","56","15","72","46","26","69","51","18","54","41","13","52","40","12","52","39","13","56","39","17","69","51","18","30","23","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
