"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Numedal videregående skole","Alle utdanningsprogram","142","85","57","139","92","47","141","87","54","143","81","62","152","89","63","127","76","51","126","72","54","134","72","62","137","82","55","104","61","43","101","56","45","103","64","39","133","88","45","133","89","44"
33,"Numedal videregående skole","Studieforberedende","57","18","39","59","26","33","51","25","26","59","25","34","63","24","39","50","14","36","49","14","35","55","21","34","45","19","26","32","14","18","41","18","23","36","17","19","45","26","19","47","29","18"
33,"Numedal videregående skole","Musikk, dans og drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Numedal videregående skole","Påbygging til generell studiekompetanse","19","7","12","15","12","3","15","7","8","19","8","11","18","2","16","11","3","8","13","3","10","14","9","5","12","5","7","11","5","6","17","6","11","8","4","4","8","1","7","10","3","7"
33,"Numedal videregående skole","Studiespesialisering","38","11","27","44","14","30","36","18","18","40","17","23","45","22","23","39","11","28","36","11","25","41","12","29","33","14","19","21","9","12","23","11","12","28","13","15","37","25","12","37","26","11"
33,"Numedal videregående skole","Yrkesfaglig","85","67","18","80","66","14","90","62","28","84","56","28","89","65","24","77","62","15","77","58","19","79","51","28","92","63","29","72","47","25","60","38","22","67","47","20","88","62","26","86","60","26"
33,"Numedal videregående skole","Bygg- og anleggsteknikk","17","17",NA,"18","18",NA,"16","15","1","15","14","1","19","18","1","23","22","1","19","19",NA,"20","18","2","25","21","4","20","19","1","13","11","2","16","14","2","30","27","3","21","19","2"
33,"Numedal videregående skole","Elektro og datateknologi","16","15","1","16","16",NA,"15","13","2","15","12","3","16","14","2","16","12","4","14","10","4","11","8","3","14","10","4","13","10","3","13","11","2","13","13",NA,"15","14","1","15","12","3"
33,"Numedal videregående skole","Helse- og oppvekstfag","19","7","12","15","6","9","25","5","20","17","1","16","16","2","14","12","4","8","16","7","9","19","6","13","22","8","14","18","2","16","16","3","13","12",NA,"12","20","2","18","19","6","13"
33,"Numedal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","1","4",NA,"4","7","4","3","12","7","5","8","5","3","9","2","7"
33,"Numedal videregående skole","Service og samferdsel","10","6","4","15","10","5","14","11","3","15","8","7","15","9","6","9","7","2","13","9","4","15","6","9","9","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Numedal videregående skole","Teknologi- og industrifag","23","22","1","16","16",NA,"20","18","2","22","21","1","23","22","1","17","17",NA,"15","13","2","14","13","1","18","17","1","17","16","1","11","9","2","14","13","1","15","14","1","22","21","1"
