"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Ål vidaregåande skole avd Ål","Alle utdanningsprogram","213","125","88","223","129","94","238","135","103","241","143","98","210","127","83","220","136","84","235","158","77","226","135","91","262","143","119","242","144","98","232","142","90","235","136","99","227","127","100","213","117","96"
33,"Ål vidaregåande skole avd Ål","Studieforberedende","30","6","24","26","8","18","28","8","20","30","7","23","28","7","21","30","9","21","25","12","13","26","7","19","30","8","22","30","11","19","28","10","18","26","7","19","29","5","24","34","8","26"
33,"Ål vidaregåande skole avd Ål","Påbygging til generell studiekompetanse","30","6","24","26","8","18","28","8","20","30","7","23","28","7","21","30","9","21","25","12","13","26","7","19","30","8","22","30","11","19","28","10","18","26","7","19","29","5","24","34","8","26"
33,"Ål vidaregåande skole avd Ål","Yrkesfaglig","183","119","64","197","121","76","210","127","83","211","136","75","182","120","62","190","127","63","210","146","64","200","128","72","232","135","97","212","133","79","204","132","72","209","129","80","198","122","76","179","109","70"
33,"Ål vidaregåande skole avd Ål","Bygg- og anleggsteknikk","24","24",NA,"28","28",NA,"36","36",NA,"40","39","1","39","37","2","43","42","1","55","54","1","55","50","5","55","50","5","55","49","6","61","56","5","56","54","2","50","49","1","49","48","1"
33,"Ål vidaregåande skole avd Ål","Elektro og datateknologi","28","26","2","25","24","1","26","26",NA,"29","29",NA,"30","29","1","29","29",NA,"30","28","2","22","20","2","20","20",NA,"28","28",NA,"28","27","1","27","26","1","25","24","1","25","23","2"
33,"Ål vidaregåande skole avd Ål","Helse- og oppvekstfag","53","11","42","58","10","48","60","7","53","59","1","58","48","2","46","54","5","49","57","10","47","60","11","49","85","10","75","58","2","56","54","2","52","62","3","59","63","5","58","51","2","49"
33,"Ål vidaregåande skole avd Ål","Naturbruk","25","16","9","17","12","5","15","12","3","13","9","4","7","5","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Ål vidaregåande skole avd Ål","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","10","6","28","13","15","18","7","11","24","10","14","25","13","12","28","14","14"
33,"Ål vidaregåande skole avd Ål","Service og samferdsel","16","8","8","24","6","18","31","11","20","24","14","10","18","10","8","26","14","12","27","14","13","25","11","14","14","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Ål vidaregåande skole avd Ål","Teknologi- og industrifag","37","34","3","45","41","4","42","35","7","46","44","2","40","37","3","36","36",NA,"41","40","1","38","36","2","42","38","4","43","41","2","43","40","3","40","36","4","35","31","4","26","22","4"
