"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Åssiden videregående skole","Alle utdanningsprogram","1101","633","468","1118","651","467","1134","661","473","1155","670","485","1153","671","482","1189","704","485","1261","743","518","1276","738","538","1373","791","582","1362","809","553","1409","834","575","1326","791","535","1297","769","528","1327","769","558"
33,"Åssiden videregående skole","Studieforberedende","88","24","64","89","25","64","89","29","60","107","42","65","147","55","92","197","79","118","256","112","144","255","116","139","259","113","146","243","110","133","264","114","150","240","96","144","246","100","146","241","104","137"
33,"Åssiden videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","26","34","116","56","60","175","78","97","179","83","96","181","84","97","159","76","83","163","76","87","149","65","84","156","64","92","147","65","82"
33,"Åssiden videregående skole","Påbygging til generell studiekompetanse","61","21","40","64","23","41","62","20","42","78","38","40","60","19","41","56","17","39","81","34","47","76","33","43","78","29","49","84","34","50","101","38","63","91","31","60","90","36","54","94","39","55"
33,"Åssiden videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","27","3","24","25","2","23","27","9","18","29","4","25","27","10","17","25","6","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Åssiden videregående skole","Yrkesfaglig","1013","609","404","1029","626","403","1045","632","413","1048","628","420","1006","616","390","992","625","367","1005","631","374","1021","622","399","1114","678","436","1119","699","420","1145","720","425","1086","695","391","1051","669","382","1086","665","421"
33,"Åssiden videregående skole","Bygg- og anleggsteknikk","210","204","6","205","202","3","205","201","4","195","191","4","192","187","5","200","195","5","234","226","8","235","226","9","232","224","8","224","210","14","211","196","15","190","179","11","180","173","7","180","167","13"
33,"Åssiden videregående skole","Design og håndverk","101","7","94","96","9","87","98","9","89","100","9","91","105","13","92","119","15","104","122","16","106","116","14","102","65","8","57","16",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Åssiden videregående skole","Elektro og datateknologi","118","113","5","150","146","4","150","150",NA,"151","148","3","150","147","3","164","159","5","150","147","3","156","149","7","173","164","9","176","170","6","191","183","8","190","188","2","194","185","9","193","182","11"
33,"Åssiden videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","3","54","109","5","104","132","10","122","114","9","105","111","9","102","130","12","118"
33,"Åssiden videregående skole","Helse- og oppvekstfag","213","27","186","222","23","199","240","33","207","249","30","219","240","38","202","240","43","197","241","38","203","242","27","215","282","36","246","237","40","197","229","39","190","225","28","197","222","28","194","220","24","196"
33,"Åssiden videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","26","2","71","60","11","88","70","18","93","82","11","98","89","9","89","75","14"
33,"Åssiden videregående skole","Medier og kommunikasjon (gammel ordning)","60","13","47","60","14","46","60","12","48","59","18","41","31","10","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Åssiden videregående skole","Restaurant- og matfag","117","67","50","104","56","48","101","52","49","103","55","48","101","46","55","89","49","40","80","39","41","93","44","49","99","51","48","107","52","55","111","59","52","100","57","43","100","52","48","98","49","49"
33,"Åssiden videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,"13","11","2"
33,"Åssiden videregående skole","Service og samferdsel","45","40","5","44","42","2","45","41","4","44","41","3","45","42","3","45","43","2","44","42","2","44","39","5","30","29","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Åssiden videregående skole","Teknologi- og industrifag","149","138","11","148","134","14","146","134","12","147","136","11","142","133","9","135","121","14","134","123","11","135","123","12","148","137","11","179","162","17","182","163","19","174","152","22","146","133","13","163","145","18"
