"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter"
34,"Dokka videregående skole","Alle utdanningsprogram","342","183","159","319","177","142","293","152","141","297","165","132","290","146","144","276","138","138","251","125","126","244","118","126","257","130","127","238","122","116","231","118","113","226","120","106","267","143","124"
34,"Dokka videregående skole","Studieforberedende","127","47","80","124","49","75","137","50","87","119","45","74","128","42","86","115","37","78","98","38","60","103","39","64","108","43","65","99","29","70","84","22","62","77","25","52","105","43","62"
34,"Dokka videregående skole","Påbygging til generell studiekompetanse","30","6","24","33","11","22","29","8","21","24","8","16","28","8","20","23","6","17","21","9","12","19","8","11","21","6","15","21","3","18","19","2","17","24","10","14","24","9","15"
34,"Dokka videregående skole","Studiespesialisering","97","41","56","91","38","53","108","42","66","95","37","58","100","34","66","92","31","61","77","29","48","84","31","53","87","37","50","78","26","52","65","20","45","53","15","38","81","34","47"
34,"Dokka videregående skole","Yrkesfaglig","215","136","79","195","128","67","156","102","54","178","120","58","162","104","58","161","101","60","153","87","66","141","79","62","149","87","62","139","93","46","147","96","51","149","95","54","162","100","62"
34,"Dokka videregående skole","Bygg- og anleggsteknikk","32","32",NA,"25","25",NA,"20","20",NA,"21","21",NA,"25","24","1","27","26","1","27","26","1","26","23","3","30","26","4","25","23","2","25","25",NA,"30","29","1","35","34","1"
34,"Dokka videregående skole","Elektro og datateknologi","36","36",NA,"37","35","2","35","33","2","36","35","1","37","34","3","30","28","2","31","29","2","27","27",NA,"29","29",NA,"30","30",NA,"30","29","1","32","30","2","31","29","2"
34,"Dokka videregående skole","Helse- og oppvekstfag","66","7","59","60","9","51","55","9","46","67","12","55","64","12","52","65","9","56","67","7","60","60","4","56","63","7","56","48","7","41","49","4","45","55","5","50","55","3","52"
34,"Dokka videregående skole","Restaurant- og matfag","32","14","18","21","8","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Dokka videregående skole","Service og samferdsel","19","18","1","12","12",NA,"8","6","2","20","19","1","18","16","2","12","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Dokka videregående skole","Teknologi- og industrifag","30","29","1","40","39","1","38","34","4","34","33","1","18","18",NA,"27","27",NA,"28","25","3","28","25","3","27","25","2","36","33","3","43","38","5","32","31","1","41","34","7"
