"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Elverum videregående skole","Alle utdanningsprogram","849","423","426","835","437","398","833","436","397","889","438","451","905","446","459","919","441","478","930","452","478","918","437","481","921","430","491","957","442","515","964","440","524","948","424","524","913","441","472","931","445","486"
34,"Elverum videregående skole","Studieforberedende","483","224","259","482","225","257","484","226","258","534","232","302","539","219","320","562","222","340","569","220","349","565","224","341","584","223","361","618","245","373","631","259","372","631","258","373","574","249","325","586","263","323"
34,"Elverum videregående skole","Idrettsfag","86","50","36","93","58","35","86","55","31","92","57","35","92","55","37","86","46","40","91","52","39","88","45","43","89","45","44","88","44","44","88","46","42","89","48","41","87","48","39","83","54","29"
34,"Elverum videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","2","8","27","7","20","39","7","32","36","8","28","33","5","28","39","6","33","48","12","36","42","12","30","40","13","27","1",NA,"1"
34,"Elverum videregående skole","Påbygging til generell studiekompetanse","95","32","63","59","24","35","60","27","33","64","24","40","54","17","37","65","28","37","63","19","44","57","22","35","71","31","40","79","36","43","63","33","30","65","22","43","49","21","28","75","35","40"
34,"Elverum videregående skole","Studiespesialisering","291","141","150","308","135","173","321","140","181","359","147","212","376","145","231","381","141","240","376","142","234","384","149","235","391","142","249","412","159","253","432","168","264","435","176","259","398","167","231","427","174","253"
34,"Elverum videregående skole","Studiespesialisering med formgivning","11","1","10","22","8","14","17","4","13","19","4","15","7",NA,"7","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Elverum videregående skole","Yrkesfaglig","366","199","167","353","212","141","349","210","139","355","206","149","366","227","139","357","219","138","361","232","129","353","213","140","337","207","130","339","197","142","333","181","152","317","166","151","339","192","147","345","182","163"
34,"Elverum videregående skole","Bygg- og anleggsteknikk","47","46","1","52","52",NA,"50","50",NA,"50","47","3","45","44","1","46","46",NA,"55","53","2","54","53","1","52","51","1","57","54","3","50","42","8","32","27","5","43","42","1","45","42","3"
34,"Elverum videregående skole","Design og håndverk","42","10","32","26","2","24","21","5","16","20","5","15","16","2","14","9","1","8","14","6","8","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Elverum videregående skole","Elektro og datateknologi","45","44","1","48","48",NA,"49","49",NA,"48","48",NA,"65","65",NA,"62","62",NA,"48","46","2","47","44","3","47","43","4","48","45","3","46","44","2","49","45","4","48","44","4","48","46","2"
34,"Elverum videregående skole","Helse- og oppvekstfag","141","30","111","124","27","97","138","28","110","149","34","115","137","28","109","145","39","106","140","47","93","143","42","101","144","38","106","143","31","112","129","25","104","115","23","92","113","22","91","111","15","96"
34,"Elverum videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","11","9","31","16","15","45","23","22","60","27","33","71","39","32","78","39","39"
34,"Elverum videregående skole","Service og samferdsel","42","25","17","47","31","16","33","23","10","32","22","10","44","32","12","38","18","20","44","23","21","37","16","21","16","12","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Elverum videregående skole","Teknologi- og industrifag","49","44","5","56","52","4","58","55","3","56","50","6","59","56","3","57","53","4","60","57","3","60","57","3","58","52","6","60","51","9","63","47","16","61","44","17","64","45","19","63","40","23"
