"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Gausdal videregående skole","Alle utdanningsprogram","365","190","175","354","176","178","384","191","193","412","212","200","394","205","189","362","203","159","312","178","134","295","169","126","277","160","117","263","147","116","220","110","110","230","114","116","227","107","120","240","126","114"
34,"Gausdal videregående skole","Studieforberedende","242","136","106","232","121","111","269","129","140","308","151","157","314","157","157","305","155","150","282","149","133","275","150","125","248","133","115","261","147","114","220","110","110","230","114","116","227","107","120","240","126","114"
34,"Gausdal videregående skole","Idrettsfag","131","91","40","126","85","41","132","85","47","148","87","61","139","88","51","134","86","48","142","84","58","150","89","61","157","90","67","161","97","64","151","83","68","166","85","81","170","81","89","178","94","84"
34,"Gausdal videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","17","15","46","21","25","66","37","29","43","23","20","39","23","16","25","16","9","14","8","6","5","5",NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","17",NA,NA,NA,NA,"20","19","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","30","12","18","28","13","15","25","8","17","31","20","11","21","8","13","28","17","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Studiespesialisering","81","33","48","78","23","55","112","36","76","129","44","85","122","44","78","97","31","66","74","28","46","65","21","44","52","20","32","55","15","40","55","19","36","59","24","35","57","26","31","62","32","30"
34,"Gausdal videregående skole","Yrkesfaglig","123","54","69","122","55","67","115","62","53","104","61","43","80","48","32","57","48","9","30","29","1","20","19","1","29","27","2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","6","1","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Medier og kommunikasjon (gammel ordning)","100","37","63","97","41","56","95","53","42","104","61","43","80","48","32","38","29","9","15","14","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Naturbruk","23","17","6","25","14","11","20","9","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gausdal videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","19",NA,"15","15",NA,"20","19","1","22","21","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
