"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Gjøvik videregående skole","Alle utdanningsprogram","1179","502","677","1162","478","684","1144","490","654","1159","474","685","1165","495","670","1184","513","671","1164","489","675","1121","468","653","1131","446","685","1084","452","632","1065","453","612","1057","469","588","1057","479","578","1141","490","651"
34,"Gjøvik videregående skole","Studieforberedende","772","339","433","756","321","435","754","313","441","728","286","442","751","314","437","779","324","455","743","286","457","719","269","450","729","266","463","697","269","428","664","265","399","678","289","389","661","281","380","677","271","406"
34,"Gjøvik videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","5","11","31","6","25","42","7","35","42","2","40","46","4","42","49","7","42","47","9","38","48","11","37","42","6","36","44","7","37"
34,"Gjøvik videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","14","17","61","32","29","89","48","41","83","39","44","83","38","45","89","46","43","85","41","44","85","31","54","89","30","59","84","27","57"
34,"Gjøvik videregående skole","Musikk, dans og drama","137","60","77","134","58","76","132","50","82","126","46","80","133","48","85","132","47","85","129","45","84","123","39","84","121","35","86","102","31","71","109","34","75","99","29","70","107","39","68","102","41","61"
34,"Gjøvik videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,"16","34","16","18","39","20","19","43","23","20","34","11","23","20",NA,"20","20",NA,"20","20","2","18","21","1","20"
34,"Gjøvik videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","34","15","19","33","18","15","36","13","23","32","11","21","35","18","17","39","25","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gjøvik videregående skole","Studiespesialisering","566","257","309","565","240","325","555","241","314","540","221","319","514","223","291","487","211","276","449","170","279","432","169","263","436","166","270","423","174","249","403","181","222","426","218","208","403","204","199","426","195","231"
34,"Gjøvik videregående skole","Studiespesialisering med formgivning","35","7","28","24","5","19","31","9","22","30","8","22","22","6","16","13","3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gjøvik videregående skole","Yrkesfaglig","407","163","244","406","157","249","390","177","213","431","188","243","414","181","233","405","189","216","421","203","218","402","199","203","402","180","222","387","183","204","401","188","213","379","180","199","396","198","198","464","219","245"
34,"Gjøvik videregående skole","Bygg- og anleggsteknikk","67","67",NA,"76","76",NA,"82","81","1","90","89","1","87","87",NA,"85","84","1","85","83","2","86","83","3","83","83",NA,"86","85","1","101","97","4","89","85","4","97","92","5","124","121","3"
34,"Gjøvik videregående skole","Design og håndverk","61","4","57","54","2","52","43","6","37","56","6","50","51","7","44","36","2","34","46","6","40","38","3","35","14","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gjøvik videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","3","28","44","3","41","36","1","35","38","2","36","32","5","27","29","5","24"
34,"Gjøvik videregående skole","Helse- og oppvekstfag","159","31","128","151","22","129","143","24","119","161","20","141","178","24","154","187","24","163","196","36","160","187","38","149","184","33","151","179","39","140","182","31","151","160","31","129","167","29","138","210","28","182"
34,"Gjøvik videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","13","2","24","23","1","23","21","2","35","31","4","38","35","3","41","35","6"
34,"Gjøvik videregående skole","Medier og kommunikasjon (gammel ordning)","76","33","43","83","28","55","79","35","44","79","48","31","39","23","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Gjøvik videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","12","18","54","33","21","59","38","21","57","31","26","62","37","25","60","30","30"
34,"Gjøvik videregående skole","Service og samferdsel","44","28","16","42","29","13","43","31","12","45","25","20","59","40","19","97","79","18","94","78","16","91","75","16","45","35","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
