"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Hadeland videregående skole","Alle utdanningsprogram","794","399","395","866","453","413","932","473","459","890","437","453","885","446","439","865","433","432","903","453","450","915","446","469","862","416","446","779","378","401","778","396","382","725","376","349","784","390","394","761","383","378"
34,"Hadeland videregående skole","Studieforberedende","402","177","225","467","212","255","517","227","290","496","196","300","522","198","324","494","192","302","513","208","305","524","208","316","525","216","309","487","205","282","452","193","259","417","188","229","437","180","257","399","170","229"
34,"Hadeland videregående skole","Idrettsfag","90","55","35","93","64","29","92","62","30","90","48","42","95","50","45","93","49","44","92","49","43","89","45","44","89","45","44","82","48","34","86","50","36","86","49","37","94","51","43","90","45","45"
34,"Hadeland videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","3","13","42","10","32","67","23","44","79","39","40","78","42","36","74","40","34","56","24","32","40","21","19","40","19","21","24","12","12"
34,"Hadeland videregående skole","Musikk, dans og drama","29","9","20","48","14","34","64","17","47","58","17","41","53","13","40","44","10","34","55","17","38","51","18","33","51","21","30","38","18","20","40","15","25","26","9","17","25","8","17","14","6","8"
34,"Hadeland videregående skole","Påbygging til generell studiekompetanse","45","21","24","49","18","31","39","15","24","33","12","21","34","15","19","28","11","17","27","13","14","43","13","30","48","20","28","45","18","27","42","14","28","42","13","29","48","6","42","37","11","26"
34,"Hadeland videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","14","1","13","16","6","10","13","6","7","14","4","10","17","1","16","15","6","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hadeland videregående skole","Studiespesialisering","224","91","133","261","110","151","309","127","182","301","115","186","307","116","191","272","106","166","272","106","166","262","93","169","259","88","171","248","81","167","228","90","138","223","96","127","230","96","134","234","96","138"
34,"Hadeland videregående skole","Yrkesfaglig","392","222","170","399","241","158","415","246","169","394","241","153","363","248","115","371","241","130","390","245","145","391","238","153","337","200","137","292","173","119","326","203","123","308","188","120","347","210","137","362","213","149"
34,"Hadeland videregående skole","Bygg- og anleggsteknikk","54","53","1","48","47","1","57","55","2","58","54","4","51","47","4","55","51","4","52","50","2","56","55","1","45","39","6","37","36","1","42","41","1","43","43",NA,"49","46","3","46","43","3"
34,"Hadeland videregående skole","Design og håndverk","47","5","42","30","3","27","14","1","13","16","1","15","8","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hadeland videregående skole","Elektro og datateknologi","51","51",NA,"71","70","1","63","62","1","58","57","1","63","62","1","65","63","2","62","61","1","64","61","3","56","55","1","54","54",NA,"56","53","3","49","49",NA,"55","52","3","60","57","3"
34,"Hadeland videregående skole","Helse- og oppvekstfag","66","11","55","62","13","49","75","15","60","67","14","53","63","13","50","81","11","70","92","13","79","93","15","78","91","13","78","92","12","80","85","9","76","75","8","67","92","13","79","108","16","92"
34,"Hadeland videregående skole","Medier og kommunikasjon (gammel ordning)","37","14","23","33","12","21","35","6","29","37","9","28","17","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hadeland videregående skole","Restaurant- og matfag","16","8","8","26","12","14","33","19","14","29","12","17","25","10","15","38","12","26","27","13","14","28","14","14","24","11","13","22","12","10","24","19","5","11","8","3","18","10","8","22","11","11"
34,"Hadeland videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","13","15","45","21","24","65","32","33","79","38","41","74","36","38","63","32","31"
34,"Hadeland videregående skole","Service og samferdsel","63","25","38","64","22","42","76","32","44","69","37","32","74","45","29","73","47","26","83","39","44","80","32","48","41","20","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hadeland videregående skole","Teknologi- og industrifag","58","55","3","65","62","3","62","56","6","60","57","3","62","59","3","59","57","2","74","69","5","70","61","9","52","49","3","42","38","4","54","49","5","51","42","9","59","53","6","63","54","9"
