"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Hamar katedralskole","Alle utdanningsprogram","1321","689","632","1317","662","655","1313","646","667","1244","638","606","1210","631","579","1175","629","546","1217","627","590","1169","598","571","1204","592","612","1181","587","594","1194","616","578","1192","606","586","1144","562","582","1177","591","586"
34,"Hamar katedralskole","Studieforberedende","815","391","424","830","385","445","830","358","472","803","351","452","788","351","437","790","361","429","831","357","474","766","309","457","799","310","489","780","318","462","784","343","441","772","331","441","741","308","433","745","327","418"
34,"Hamar katedralskole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","2","8","35","7","28","64","14","50","80","18","62","86","20","66","84","17","67","85","18","67","87","17","70","87","19","68","95","22","73"
34,"Hamar katedralskole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","18","11","59","33","26","85","39","46","80","29","51","85","35","50","85","35","50","85","34","51","77","34","43","73","30","43","68","27","41"
34,"Hamar katedralskole","Påbygging til generell studiekompetanse","26","13","13","12","3","9","7","1","6","1",NA,"1","20","2","18","1",NA,"1","20","16","4","1","1",NA,"18","10","8","16","12","4","3",NA,"3","9",NA,"9","13",NA,"13","11","4","7"
34,"Hamar katedralskole","Studieforberedende Vg3 Medier og kommunikasjon","25","8","17","15","6","9","17","3","14","24","7","17",NA,NA,NA,"14","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hamar katedralskole","Studiespesialisering","701","358","343","727","358","369","721","331","390","699","319","380","689","315","374","665","305","360","662","288","374","605","261","344","610","245","365","595","254","341","611","291","320","599","280","319","568","259","309","571","274","297"
34,"Hamar katedralskole","Studiespesialisering med formgivning","63","12","51","76","18","58","85","23","62","79","25","54","40","14","26","16","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hamar katedralskole","Yrkesfaglig","506","298","208","487","277","210","483","288","195","441","287","154","422","280","142","385","268","117","386","270","116","403","289","114","405","282","123","401","269","132","410","273","137","420","275","145","403","254","149","432","264","168"
34,"Hamar katedralskole","Design og håndverk","134","10","124","129","13","116","123","16","107","100","17","83","113","21","92","103","20","83","114","24","90","115","35","80","66","17","49","7","1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hamar katedralskole","Elektro og datateknologi","100","100",NA,"105","104","1","108","108",NA,"104","103","1","109","106","3","105","103","2","102","100","2","102","99","3","102","97","5","93","91","2","87","86","1","89","88","1","77","75","2","90","87","3"
34,"Hamar katedralskole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","2","27","59","4","55","74","6","68","71","11","60","65","9","56","77","4","73"
34,"Hamar katedralskole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1","7","15","1","14","24",NA,"24","26","4","22","23","5","18","24","1","23"
34,"Hamar katedralskole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","27","3","63","51","12","61","54","7","60","51","9","59","45","14","64","44","20"
34,"Hamar katedralskole","Medier og kommunikasjon (gammel ordning)","61","17","44","60","13","47","63","19","44","63","23","40","38","21","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hamar katedralskole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","12","15","75","45","30","71","45","26","73","34","39","90","43","47","79","41","38"
34,"Hamar katedralskole","Service og samferdsel","78","50","28","86","46","40","85","45","40","77","52","25","91","68","23","100","73","27","83","65","18","98","78","20","54","39","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Hamar katedralskole","Teknologi- og industrifag","133","121","12","107","101","6","104","100","4","97","92","5","71","64","7","77","72","5","87","81","6","88","77","11","89","87","2","89","76","13","93","82","11","101","87","14","89","77","12","98","87","11"
