"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter"
34,"Koppang videregående skole (Nedlagt)","Alle utdanningsprogram","157","72","85","131","65","66","141","68","73","142","75","67","121","57","64","74","35","39","45","25","20"
34,"Koppang videregående skole (Nedlagt)","Studieforberedende","60","22","38","49","13","36","64","27","37","56","26","30","41","20","21","24","12","12","18","7","11"
34,"Koppang videregående skole (Nedlagt)","Påbygging til generell studiekompetanse","14","4","10","9",NA,"9","11","3","8","8","3","5","9","4","5",NA,NA,NA,NA,NA,NA
34,"Koppang videregående skole (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","7","4","3","4",NA,"4","1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Koppang videregående skole (Nedlagt)","Studiespesialisering","39","14","25","36","13","23","52","24","28","47","23","24","32","16","16","24","12","12","18","7","11"
34,"Koppang videregående skole (Nedlagt)","Yrkesfaglig","97","50","47","82","52","30","77","41","36","86","49","37","80","37","43","50","23","27","27","18","9"
34,"Koppang videregående skole (Nedlagt)","Elektro og datateknologi","8","8",NA,"6","6",NA,"8","8",NA,"6","5","1","7","7",NA,NA,NA,NA,NA,NA,NA
34,"Koppang videregående skole (Nedlagt)","Helse- og oppvekstfag","33","3","30","25","5","20","26","6","20","29","9","20","40","5","35","28","7","21",NA,NA,NA
34,"Koppang videregående skole (Nedlagt)","Medier og kommunikasjon (gammel ordning)","17","7","10","9","5","4","8","4","4","13","11","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Koppang videregående skole (Nedlagt)","Naturbruk","10","9","1","11","11",NA,"6","5","1","7","6","1","6","5","1","6","5","1","9","6","3"
34,"Koppang videregående skole (Nedlagt)","Restaurant- og matfag","7","3","4","11","5","6","14","5","9","12","1","11","8","2","6","7","2","5","8","3","5"
34,"Koppang videregående skole (Nedlagt)","Teknologi- og industrifag","22","20","2","20","20",NA,"15","13","2","19","17","2","19","18","1","9","9",NA,"10","9","1"
