"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Lena-Valle videregående skole avd Lena","Alle utdanningsprogram","537","306","231","537","292","245","533","286","247","479","263","216","483","257","226","508","273","235","468","239","229","468","242","226","654","337","317","604","318","286","595","311","284","589","298","291","587","277","310","640","300","340"
34,"Lena-Valle videregående skole avd Lena","Studieforberedende","338","199","139","328","180","148","327","173","154","297","162","135","301","163","138","323","174","149","291","152","139","281","144","137","271","133","138","263","135","128","279","131","148","279","128","151","283","126","157","288","128","160"
34,"Lena-Valle videregående skole avd Lena","Idrettsfag","163","117","46","167","112","55","155","102","53","160","99","61","166","105","61","169","109","60","138","88","50","139","93","46","142","90","52","145","97","48","148","84","64","155","90","65","164","86","78","165","89","76"
34,"Lena-Valle videregående skole avd Lena","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"17","19","2","17","20",NA,"20","16",NA,"16","16",NA,"16","20","2","18","17","1","16","19","4","15","13","1","12"
34,"Lena-Valle videregående skole avd Lena","Studieforberedende Vg3 Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","3","17","11","2","9","21","3","18","20","3","17","12","4","8","20","2","18"
34,"Lena-Valle videregående skole avd Lena","Studiespesialisering","175","82","93","161","68","93","172","71","101","137","63","74","135","58","77","137","65","72","134","62","72","122","51","71","93","40","53","91","36","55","90","42","48","87","34","53","88","32","56","90","36","54"
34,"Lena-Valle videregående skole avd Lena","Yrkesfaglig","199","107","92","209","112","97","206","113","93","182","101","81","182","94","88","185","99","86","177","87","90","187","98","89","383","204","179","341","183","158","316","180","136","310","170","140","304","151","153","352","172","180"
34,"Lena-Valle videregående skole avd Lena","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","12","2","15","12","3","15","9","6","18","13","5","13","12","1"
34,"Lena-Valle videregående skole avd Lena","Design og håndverk","42","15","27","41","15","26","39","11","28","13","7","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lena-Valle videregående skole avd Lena","Helse- og oppvekstfag","68","13","55","74","16","58","62","17","45","68","14","54","83","12","71","88","11","77","88","10","78","78","10","68","74","9","65","83","16","67","71","16","55","63","9","54","68","8","60","83","8","75"
34,"Lena-Valle videregående skole avd Lena","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"218","124","94","159","83","76","152","89","63","150","86","64","145","72","73","163","82","81"
34,"Lena-Valle videregående skole avd Lena","Service og samferdsel","29","24","5","30","26","4","29","22","7","41","32","9","36","29","7","41","35","6","39","35","4","46","39","7","30","23","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lena-Valle videregående skole avd Lena","Teknologi- og industrifag","59","54","5","64","55","9","73","60","13","60","48","12","63","53","10","56","53","3","50","42","8","63","49","14","61","48","13","85","72","13","78","63","15","82","66","16","73","58","15","93","70","23"
