"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Lillehammer videregående skole avd Nord","Alle utdanningsprogram","327","229","98","310","229","81","251","194","57","233","171","62","500","249","251","487","230","257","517","262","255","487","251","236","513","263","250","483","241","242","493","250","243","483","251","232","496","261","235","554","282","272"
34,"Lillehammer videregående skole avd Nord","Studieforberedende","30","3","27","21","5","16",NA,NA,NA,NA,NA,NA,"79","25","54","75","15","60","86","17","69","94","26","68","103","36","67","96","29","67","91","21","70","87","17","70","97","38","59","86","38","48"
34,"Lillehammer videregående skole avd Nord","Påbygging til generell studiekompetanse","17",NA,"17","21","5","16",NA,NA,NA,NA,NA,NA,"79","25","54","75","15","60","86","17","69","94","26","68","103","36","67","96","29","67","89","20","69","87","17","70","97","38","59","86","38","48"
34,"Lillehammer videregående skole avd Nord","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lillehammer videregående skole avd Nord","Studiespesialisering med formgivning","13","3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lillehammer videregående skole avd Nord","Yrkesfaglig","297","226","71","289","224","65","251","194","57","233","171","62","421","224","197","412","215","197","431","245","186","393","225","168","410","227","183","387","212","175","402","229","173","396","234","162","399","223","176","468","244","224"
34,"Lillehammer videregående skole avd Nord","Bygg- og anleggsteknikk","70","70",NA,"67","67",NA,"65","62","3","47","46","1","73","72","1","87","84","3","96","96",NA,"83","76","7","78","70","8","67","64","3","83","80","3","95","93","2","80","80",NA,"93","89","4"
34,"Lillehammer videregående skole avd Nord","Design og håndverk","65","6","59","62","8","54","47","4","43","58","7","51","56","5","51","49","8","41","50","8","42","47","6","41","22","1","21","5","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lillehammer videregående skole avd Nord","Elektro og datateknologi","81","81",NA,"79","77","2","68","61","7","57","53","4","54","53","1","56","55","1","65","63","2","59","56","3","61","58","3","61","60","1","60","57","3","63","57","6","74","67","7","75","71","4"
34,"Lillehammer videregående skole avd Nord","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","4","8","18","1","17","33","4","29","18",NA,"18","29","1","28","41",NA,"41"
34,"Lillehammer videregående skole avd Nord","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166","31","135","161","15","146","155","19","136","131","22","109","162","31","131","166","24","142","156","25","131","142","21","121","147","22","125","181","18","163"
34,"Lillehammer videregående skole avd Nord","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2","2",NA
34,"Lillehammer videregående skole avd Nord","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1",NA,"1","1",NA,"1","3","2","1","7","4","3","7","6","1"
34,"Lillehammer videregående skole avd Nord","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","2","4","4",NA,"3","2","1","1","1",NA,NA,NA,NA,NA,NA,NA
34,"Lillehammer videregående skole avd Nord","Teknologi- og industrifag","81","69","12","81","72","9","71","67","4","71","65","6","72","63","9","59","53","6","65","59","6","73","65","8","67","58","9","65","58","7","66","61","5","74","60","14","61","48","13","69","58","11"
