"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Lillehammer videregående skole avd Sør ","Alle utdanningsprogram","566","264","302","615","282","333","608","276","332","605","278","327","726","358","368","696","329","367","647","295","352","623","288","335","591","273","318","596","277","319","594","285","309","555","268","287","591","290","301","621","309","312"
34,"Lillehammer videregående skole avd Sør ","Studieforberedende","566","264","302","615","282","333","608","276","332","605","278","327","603","281","322","581","264","317","558","239","319","519","220","299","505","218","287","514","224","290","501","225","276","475","216","259","475","215","260","492","222","270"
34,"Lillehammer videregående skole avd Sør ","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","2","16","26","5","21","41","4","37","45","7","38"
34,"Lillehammer videregående skole avd Sør ","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Lillehammer videregående skole avd Sør ","Studiespesialisering","566","264","302","615","282","333","608","276","332","605","278","327","603","281","322","581","264","317","550","238","312","519","220","299","505","218","287","514","224","290","483","223","260","449","211","238","434","211","223","447","215","232"
34,"Lillehammer videregående skole avd Sør ","Yrkesfaglig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","77","46","115","65","50","89","56","33","104","68","36","86","55","31","82","53","29","93","60","33","80","52","28","116","75","41","129","87","42"
34,"Lillehammer videregående skole avd Sør ","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","11","2","29","26","3","28","26","2","32","29","3","27","26","1","42","36","6"
34,"Lillehammer videregående skole avd Sør ","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","18","19","30","16","14","35","16","19","44","24","20","26","12","14","29","14","15","39","20","19","34","17","17","43","24","19","37","21","16"
34,"Lillehammer videregående skole avd Sør ","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","7","6","24","13","11","26","14","12","14","6","8","46","25","21","50","30","20"
34,"Lillehammer videregående skole avd Sør ","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","59","27","85","49","36","54","40","14","60","44","16","34","25","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
