"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Nord-Gudbrandsdal vidaregåande skule","Alle utdanningsprogram","406","195","211","402","188","214","356","173","183","387","177","210","355","169","186","362","162","200","350","146","204","345","142","203","327","135","192","287","121","166","271","110","161","245","100","145","251","102","149","251","108","143"
34,"Nord-Gudbrandsdal vidaregåande skule","Studieforberedende","201","102","99","212","96","116","185","82","103","197","87","110","166","74","92","168","65","103","169","61","108","178","67","111","176","73","103","142","50","92","135","44","91","122","46","76","141","61","80","144","74","70"
34,"Nord-Gudbrandsdal vidaregåande skule","Idrettsfag","97","59","38","96","54","42","72","42","30","77","44","33","81","47","34","87","44","43","83","41","42","76","42","34","65","35","30","52","23","29","56","23","33","53","23","30","56","32","24","64","41","23"
34,"Nord-Gudbrandsdal vidaregåande skule","Påbygging til generell studiekompetanse","30","5","25","33","8","25","30","10","20","33","15","18","22","5","17","28","7","21","20","4","16","22","7","15","32","14","18","19","4","15","24","2","22","18","4","14","21","5","16","14","2","12"
34,"Nord-Gudbrandsdal vidaregåande skule","Studiespesialisering","74","38","36","83","34","49","83","30","53","87","28","59","63","22","41","53","14","39","66","16","50","80","18","62","79","24","55","71","23","48","55","19","36","51","19","32","64","24","40","66","31","35"
34,"Nord-Gudbrandsdal vidaregåande skule","Yrkesfaglig","205","93","112","190","92","98","171","91","80","190","90","100","189","95","94","194","97","97","181","85","96","167","75","92","151","62","89","145","71","74","136","66","70","123","54","69","110","41","69","107","34","73"
34,"Nord-Gudbrandsdal vidaregåande skule","Design og håndverk","30",NA,"30","19","4","15","13","2","11","19","1","18","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Nord-Gudbrandsdal vidaregåande skule","Helse- og oppvekstfag","55","6","49","60","4","56","52","4","48","58","4","54","60","4","56","64","4","60","62","5","57","61","5","56","61","5","56","52","6","46","56","5","51","50","1","49","53",NA,"53","53","1","52"
34,"Nord-Gudbrandsdal vidaregåande skule","Restaurant- og matfag","20","7","13","16","8","8","22","14","8","22","9","13","23","11","12","28","12","16","23","9","14","21","11","10","17","5","12","10","1","9","4",NA,"4","6","4","2","7","4","3","2",NA,"2"
34,"Nord-Gudbrandsdal vidaregåande skule","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","2","3","3","1","2","1",NA,"1","10","2","8","2",NA,"2","8","4","4"
34,"Nord-Gudbrandsdal vidaregåande skule","Service og samferdsel","46","29","17","48","32","16","50","43","7","43","38","5","55","40","15","43","34","9","52","40","12","46","32","14","21","17","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Nord-Gudbrandsdal vidaregåande skule","Teknologi- og industrifag","54","51","3","47","44","3","34","28","6","48","38","10","49","40","9","59","47","12","44","31","13","39","27","12","47","33","14","80","63","17","75","61","14","57","47","10","48","37","11","44","29","15"
