"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Nord-Østerdal videregående skole","Alle utdanningsprogram","493","264","229","514","263","251","532","268","264","516","250","266","494","236","258","479","225","254","491","246","245","470","249","221","440","237","203","402","205","197","372","201","171","386","223","163","370","193","177","402","207","195"
34,"Nord-Østerdal videregående skole","Studieforberedende","330","145","185","353","146","207","358","152","206","347","147","200","325","135","190","320","119","201","321","132","189","300","140","160","279","132","147","249","110","139","222","98","124","209","100","109","205","89","116","234","98","136"
34,"Nord-Østerdal videregående skole","Idrettsfag","74","47","27","80","48","32","79","52","27","83","53","30","84","53","31","84","46","38","92","51","41","83","45","38","84","49","35","82","46","36","80","44","36","75","42","33","69","39","30","88","48","40"
34,"Nord-Østerdal videregående skole","Musikk, dans og drama","55","24","31","54","26","28","57","24","33","48","16","32","45","13","32","47","11","36","49","15","34","38","13","25","29","13","16","22","9","13","24","12","12","34","17","17","34","15","19","33","15","18"
34,"Nord-Østerdal videregående skole","Påbygging til generell studiekompetanse","31","11","20","24","8","16","30","11","19","25","13","12","32","8","24","28","7","21","27","4","23","27","10","17","20","7","13","27","5","22","25","10","15","16","9","7","29","13","16","29","5","24"
34,"Nord-Østerdal videregående skole","Studiespesialisering","167","63","104","195","64","131","192","65","127","191","65","126","164","61","103","161","55","106","153","62","91","152","72","80","146","63","83","118","50","68","93","32","61","84","32","52","73","22","51","84","30","54"
34,"Nord-Østerdal videregående skole","Studiespesialisering med formgivning","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Nord-Østerdal videregående skole","Yrkesfaglig","163","119","44","161","117","44","174","116","58","169","103","66","169","101","68","159","106","53","170","114","56","170","109","61","161","105","56","153","95","58","150","103","47","177","123","54","165","104","61","168","109","59"
34,"Nord-Østerdal videregående skole","Bygg- og anleggsteknikk","35","35",NA,"27","27",NA,"29","29",NA,"26","26",NA,"23","22","1","31","31",NA,"26","26",NA,"26","26",NA,"25","25",NA,"25","23","2","31","29","2","31","30","1","22","20","2","23","21","2"
34,"Nord-Østerdal videregående skole","Elektro og datateknologi","38","36","2","41","41",NA,"45","45",NA,"41","40","1","43","41","2","35","33","2","33","32","1","37","37",NA,"36","34","2","35","33","2","30","27","3","36","31","5","32","30","2","37","36","1"
34,"Nord-Østerdal videregående skole","Helse- og oppvekstfag","41","7","34","40","5","35","51","5","46","57","7","50","59","8","51","59","14","45","57","17","40","58","15","43","55","14","41","54","10","44","41","6","35","47","9","38","55","9","46","53","5","48"
34,"Nord-Østerdal videregående skole","Restaurant- og matfag","12","5","7","19","10","9","24","15","9","21","10","11","21","10","11","10","6","4","24","11","13","23","8","15","17","6","11","15","10","5","12","7","5","11","5","6","11","8","3","9","6","3"
34,"Nord-Østerdal videregående skole","Service og samferdsel","12","12",NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Nord-Østerdal videregående skole","Teknologi- og industrifag","25","24","1","24","24",NA,"25","22","3","24","20","4","23","20","3","24","22","2","30","28","2","26","23","3","28","26","2","24","19","5","36","34","2","52","48","4","45","37","8","46","41","5"
