"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Ringsaker videregående skole","Alle utdanningsprogram","736","372","364","772","405","367","762","387","375","757","416","341","732","400","332","716","396","320","699","373","326","719","380","339","745","390","355","741","376","365","754","385","369","768","388","380","787","404","383","829","402","427"
34,"Ringsaker videregående skole","Studieforberedende","402","165","237","411","174","237","414","168","246","399","188","211","377","177","200","354","170","184","327","135","192","330","131","199","323","138","185","339","139","200","323","133","190","332","127","205","326","118","208","325","94","231"
34,"Ringsaker videregående skole","Påbygging til generell studiekompetanse","60","15","45","59","19","40","60","10","50","56","27","29","58","18","40","60","29","31","60","17","43","59","20","39","56","22","34","84","19","65","69","16","53","81","23","58","72","21","51","77","13","64"
34,"Ringsaker videregående skole","Studiespesialisering","311","145","166","319","148","171","340","155","185","338","161","177","319","159","160","294","141","153","267","118","149","271","111","160","267","116","151","255","120","135","254","117","137","251","104","147","254","97","157","248","81","167"
34,"Ringsaker videregående skole","Studiespesialisering med formgivning","31","5","26","33","7","26","14","3","11","5",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Ringsaker videregående skole","Yrkesfaglig","334","207","127","361","231","130","348","219","129","358","228","130","355","223","132","362","226","136","372","238","134","389","249","140","422","252","170","402","237","165","431","252","179","436","261","175","461","286","175","504","308","196"
34,"Ringsaker videregående skole","Bygg- og anleggsteknikk","49","48","1","59","59",NA,"54","54",NA,"60","59","1","51","51",NA,"58","58",NA,"68","66","2","79","76","3","84","79","5","80","74","6","90","85","5","90","88","2","92","87","5","88","80","8"
34,"Ringsaker videregående skole","Elektro og datateknologi","77","73","4","73","71","2","72","70","2","74","73","1","76","72","4","81","77","4","87","80","7","88","85","3","89","86","3","88","85","3","89","84","5","90","86","4","107","105","2","118","113","5"
34,"Ringsaker videregående skole","Helse- og oppvekstfag","134","22","112","131","26","105","122","23","99","138","27","111","143","32","111","146","25","121","146","33","113","144","27","117","172","24","148","165","21","144","163","25","138","168","20","148","153","17","136","170","26","144"
34,"Ringsaker videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","12","4","19","9","10","34","14","20","44","25","19","48","25","23","57","28","29"
34,"Ringsaker videregående skole","Service og samferdsel","31","21","10","43","21","22","47","27","20","35","24","11","31","19","12","24","20","4","28","23","5","30","21","9","10","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Ringsaker videregående skole","Teknologi- og industrifag","43","43",NA,"55","54","1","53","45","8","51","45","6","54","49","5","53","46","7","43","36","7","48","40","8","51","44","7","50","48","2","55","44","11","44","42","2","61","52","9","71","61","10"
