"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Sentrum videregående skole","Alle utdanningsprogram","597","273","324","579","266","313","570","269","301","554","275","279","538","262","276","560","262","298","571","252","319","586","271","315","596","290","306","590","260","330","612","266","346","558","242","316","538","233","305","670","364","306"
34,"Sentrum videregående skole","Studieforberedende","104","15","89","93","15","78","94","18","76","84","18","66","107","31","76","133","33","100","141","38","103","152","51","101","164","65","99","168","54","114","187","56","131","161","42","119","161","32","129","145","37","108"
34,"Sentrum videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","4","16","33","6","27","30","5","25","29","5","24","36","9","27","51","11","40","64","10","54","62","7","55","51","4","47","41","5","36"
34,"Sentrum videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","8","21","57","16","41","81","30","51","81","39","42","84","49","35","77","41","36","78","40","38","54","25","29","62","27","35","68","27","41"
34,"Sentrum videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"7",NA,"7","6",NA,"6","11","5","6","2",NA,"2","3","1","2","30","3","27","42","7","35","44","7","37","40","2","38","45","6","39","45","10","35","48","1","47","36","5","31"
34,"Sentrum videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","27","4","23","20","5","15","22","6","16","15","5","10","25","14","11","25","7","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Sentrum videregående skole","Studiespesialisering med formgivning","77","11","66","66","10","56","66","12","54","58","8","50","31","5","26","15","3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Sentrum videregående skole","Yrkesfaglig","493","258","235","486","251","235","476","251","225","470","257","213","431","231","200","427","229","198","430","214","216","434","220","214","432","225","207","422","206","216","425","210","215","397","200","197","377","201","176","525","327","198"
34,"Sentrum videregående skole","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","63","2"
34,"Sentrum videregående skole","Design og håndverk","42","7","35","45","8","37","40","5","35","33","9","24","41","10","31","38","4","34","38","11","27","38","9","29","18","5","13","9","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Sentrum videregående skole","Elektro og datateknologi","63","62","1","70","70",NA,"72","71","1","75","74","1","76","73","3","72","70","2","70","69","1","76","74","2","67","65","2","51","48","3","62","60","2","64","62","2","67","62","5","97","90","7"
34,"Sentrum videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,"13","23",NA,"23","25",NA,"25","9","1","8","9","1","8","24",NA,"24"
34,"Sentrum videregående skole","Helse- og oppvekstfag","144","34","110","145","26","119","151","25","126","156","30","126","149","28","121","177","47","130","193","36","157","186","33","153","192","45","147","197","49","148","202","47","155","183","33","150","165","38","127","173","37","136"
34,"Sentrum videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","14","2","27","25","2","27","22","5","30","23","7","29","24","5","35","33","2"
34,"Sentrum videregående skole","Medier og kommunikasjon (gammel ordning)","58","13","45","57","16","41","56","24","32","59","20","39","30","7","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Sentrum videregående skole","Restaurant- og matfag","73","37","36","59","30","29","61","36","25","51","33","18","43","25","18","50","24","26","42","23","19","49","28","21","51","32","19","42","23","19","31","13","18","28","13","15","34","14","20","38","22","16"
34,"Sentrum videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","23","6"
34,"Sentrum videregående skole","Service og samferdsel","16","12","4","16","14","2","16","14","2","16","15","1","16","16",NA,"16","15","1","16","15","1","16","12","4","16","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Sentrum videregående skole","Teknologi- og industrifag","97","93","4","94","87","7","80","76","4","80","76","4","76","72","4","74","69","5","71","60","11","69","64","5","59","48","11","73","59","14","78","68","10","83","68","15","73","62","11","64","59","5"
