"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter"
34,"Skarnes videregående skole","Alle utdanningsprogram","355","198","157","349","202","147","357","190","167","376","201","175","369","213","156","373","204","169","313","166","147","278","154","124","221","124","97","213","143","70","185","107","78","186","99","87","173","105","68"
34,"Skarnes videregående skole","Studieforberedende","217","89","128","210","80","130","226","81","145","244","90","154","225","91","134","235","98","137","191","72","119","171","62","109","125","42","83","116","60","56","115","43","72","106","36","70","108","45","63"
34,"Skarnes videregående skole","Musikk, dans og drama","37","16","21","37","18","19","27","10","17","28","12","16","30","13","17","33","14","19","20","9","11","10","3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Skarnes videregående skole","Påbygging til generell studiekompetanse","59","26","33","29","9","20","60","22","38","55","14","41","54","22","32","57","28","29","49","26","23","36","16","20","27","7","20","26","22","4","25","11","14","26","7","19","24","13","11"
34,"Skarnes videregående skole","Studiespesialisering","121","47","74","144","53","91","139","49","90","161","64","97","141","56","85","145","56","89","122","37","85","125","43","82","98","35","63","90","38","52","90","32","58","80","29","51","84","32","52"
34,"Skarnes videregående skole","Yrkesfaglig","138","109","29","139","122","17","131","109","22","132","111","21","144","122","22","138","106","32","122","94","28","107","92","15","96","82","14","97","83","14","70","64","6","80","63","17","65","60","5"
34,"Skarnes videregående skole","Bygg- og anleggsteknikk","76","73","3","82","80","2","76","73","3","78","76","2","81","74","7","74","69","5","61","59","2","65","63","2","54","51","3","62","58","4","62","59","3","53","49","4","51","49","2"
34,"Skarnes videregående skole","Design og håndverk","27","1","26","17","3","14","19","2","17","19","1","18","20","6","14","27","2","25","27","4","23","11","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Skarnes videregående skole","Elektro og datateknologi","35","35",NA,"40","39","1","36","34","2","35","34","1","43","42","1","37","35","2","34","31","3","31","27","4","33","30","3","25","25",NA,"5","5",NA,"16","14","2","14","11","3"
34,"Skarnes videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","1","8","10",NA,"10","3",NA,"3","11",NA,"11",NA,NA,NA
