"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Solør videregående skole","Alle utdanningsprogram","564","375","189","538","342","196","508","330","178","519","343","176","525","377","148","498","336","162","486","322","164","453","312","141","475","325","150","456","288","168","443","276","167","434","280","154","410","265","145","356","242","114"
34,"Solør videregående skole","Studieforberedende","197","89","108","189","83","106","185","80","105","168","70","98","176","87","89","176","76","100","176","67","109","154","62","92","159","71","88","156","70","86","135","53","82","124","45","79","114","46","68","28","5","23"
34,"Solør videregående skole","Påbygging til generell studiekompetanse","19","6","13","19","9","10","25","10","15","24","11","13","16","7","9","21","6","15","35","14","21","32","17","15","33","16","17","40","18","22","31","9","22","29","11","18","25","11","14","22","4","18"
34,"Solør videregående skole","Studieforberedende Vg3 Naturbruk","11","11",NA,"11","11",NA,"6","5","1","5","4","1","14","11","3","9","4","5","7","6","1","11","8","3","5","5",NA,"14","8","6","8","7","1","8","3","5","9","5","4","6","1","5"
34,"Solør videregående skole","Studiespesialisering","167","72","95","159","63","96","154","65","89","139","55","84","146","69","77","146","66","80","134","47","87","111","37","74","121","50","71","102","44","58","96","37","59","87","31","56","80","30","50",NA,NA,NA
34,"Solør videregående skole","Yrkesfaglig","367","286","81","349","259","90","323","250","73","351","273","78","349","290","59","322","260","62","310","255","55","299","250","49","316","254","62","300","218","82","308","223","85","310","235","75","296","219","77","328","237","91"
34,"Solør videregående skole","Bygg- og anleggsteknikk","69","67","2","88","84","4","80","80",NA,"96","96",NA,"89","88","1","77","73","4","98","96","2","95","94","1","90","83","7","90","78","12","90","80","10","88","76","12","85","78","7","85","79","6"
34,"Solør videregående skole","Design og håndverk","13","5","8","12","2","10","9","1","8","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Solør videregående skole","Elektro og datateknologi","31","31",NA,"30","28","2","30","28","2","31","31",NA,"33","33",NA,"32","32",NA,"30","28","2","31","31",NA,"29","29",NA,"25","23","2","28","26","2","33","31","2","33","32","1","29","29",NA
34,"Solør videregående skole","Helse- og oppvekstfag","65","10","55","70","13","57","55","10","45","61","10","51","53","11","42","61","15","46","58","17","41","45","12","33","46","8","38","44","1","43","47","4","43","43","9","34","41","4","37","51","7","44"
34,"Solør videregående skole","Naturbruk","73","68","5","53","46","7","48","43","5","64","55","9","56","50","6","61","54","7","42","36","6","42","34","8","53","42","11","42","32","10","41","33","8","42","30","12","33","22","11","60","36","24"
34,"Solør videregående skole","Service og samferdsel","40","30","10","33","25","8","40","34","6","29","23","6","41","36","5","27","25","2","25","22","3","27","24","3","26","25","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Solør videregående skole","Teknologi- og industrifag","76","75","1","63","61","2","61","54","7","58","57","1","77","72","5","64","61","3","57","56","1","59","55","4","72","67","5","99","84","15","102","80","22","104","89","15","104","83","21","103","86","17"
