"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Trysil videregående skole","Alle utdanningsprogram","288","166","122","248","140","108","252","129","123","206","101","105","221","103","118","333","125","208","174","98","76","156","81","75","214","101","113","232","108","124","214","111","103","215","104","111","217","93","124","216","105","111"
34,"Trysil videregående skole","Studieforberedende","208","114","94","184","98","86","188","101","87","144","70","74","150","75","75","219","91","128","111","58","53","102","49","53","151","68","83","164","71","93","161","82","79","155","75","80","163","72","91","161","79","82"
34,"Trysil videregående skole","Idrettsfag","74","62","12","66","54","12","58","45","13","48","38","10","55","41","14","42","33","9","45","34","11","37","27","10","55","37","18","60","36","24","57","38","19","57","37","20","60","41","19","65","45","20"
34,"Trysil videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","1","5","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Trysil videregående skole","Påbygging til generell studiekompetanse","23","10","13","26","13","13","33","15","18","11","7","4","8","4","4","88","31","57","4","1","3","1","1",NA,"29","11","18","34","13","21","42","19","23","41","13","28","43","10","33","48","18","30"
34,"Trysil videregående skole","Studiespesialisering","84","36","48","71","25","46","75","36","39","66","22","44","68","28","40","73","25","48","62","23","39","64","21","43","67","20","47","70","22","48","62","25","37","57","25","32","60","21","39","48","16","32"
34,"Trysil videregående skole","Studiespesialisering med formgivning","27","6","21","21","6","15","22","5","17","19","3","16","13","1","12","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Trysil videregående skole","Yrkesfaglig","80","52","28","64","42","22","64","28","36","62","31","31","71","28","43","114","34","80","63","40","23","54","32","22","63","33","30","68","37","31","53","29","24","60","29","31","54","21","33","55","26","29"
34,"Trysil videregående skole","Bygg- og anleggsteknikk","28","28",NA,"23","23",NA,"17","17",NA,"20","20",NA,"13","12","1","19","17","2","28","26","2","28","27","1","29","27","2","30","30",NA,"28","27","1","28","24","4","20","18","2","21","21",NA
34,"Trysil videregående skole","Elektro og datateknologi",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Trysil videregående skole","Helse- og oppvekstfag","29","6","23","26","7","19","34","7","27","28","3","25","37","5","32","87","15","72","34","13","21","26","5","21","34","6","28","38","7","31","25","2","23","32","5","27","34","3","31","34","5","29"
34,"Trysil videregående skole","Restaurant- og matfag","23","18","5","13","10","3","13","4","9","14","8","6","21","11","10","8","2","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Trysil videregående skole","Teknologi- og industrifag",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
