"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Valdres vidaregåande skule","Alle utdanningsprogram","531","288","243","562","297","265","516","265","251","508","252","256","489","241","248","433","213","220","450","230","220","471","252","219","472","237","235","425","209","216","408","204","204","407","217","190","389","213","176","433","241","192"
34,"Valdres vidaregåande skule","Studieforberedende","288","126","162","315","139","176","294","120","174","292","118","174","270","103","167","234","86","148","243","96","147","247","105","142","254","100","154","222","88","134","207","74","133","197","81","116","198","93","105","214","101","113"
34,"Valdres vidaregåande skule","Idrettsfag","70","45","25","75","47","28","87","53","34","85","50","35","70","39","31","57","31","26","64","40","24","78","45","33","89","48","41","77","41","36","71","35","36","73","42","31","86","50","36","88","51","37"
34,"Valdres vidaregåande skule","Påbygging til generell studiekompetanse","40","22","18","65","33","32","42","13","29","26","10","16","21","10","11","24","6","18","18","2","16","29","9","20","30","7","23","25","5","20","29","3","26","25","3","22","31","11","20","26","14","12"
34,"Valdres vidaregåande skule","Studiespesialisering","178","59","119","175","59","116","165","54","111","181","58","123","179","54","125","153","49","104","161","54","107","140","51","89","135","45","90","120","42","78","107","36","71","99","36","63","81","32","49","100","36","64"
34,"Valdres vidaregåande skule","Yrkesfaglig","243","162","81","247","158","89","222","145","77","216","134","82","219","138","81","199","127","72","207","134","73","224","147","77","218","137","81","203","121","82","201","130","71","210","136","74","191","120","71","219","140","79"
34,"Valdres vidaregåande skule","Bygg- og anleggsteknikk","44","42","2","27","26","1","25","25",NA,"32","32",NA,"34","34",NA,"30","29","1","27","26","1","40","35","5","42","38","4","37","32","5","41","37","4","54","50","4","42","34","8","44","36","8"
34,"Valdres vidaregåande skule","Design og håndverk","21","2","19","17","4","13","15",NA,"15","12","3","9","12","1","11","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Valdres vidaregåande skule","Elektro og datateknologi","59","56","3","62","60","2","55","54","1","36","32","4","38","32","6","30","27","3","30","28","2","28","24","4","31","26","5","28","22","6","29","25","4","27","23","4","30","27","3","29","27","2"
34,"Valdres vidaregåande skule","Helse- og oppvekstfag","55","7","48","69","7","62","57","8","49","53","6","47","59","10","49","56","13","43","60","13","47","59","13","46","58","11","47","57","4","53","54","2","52","50","2","48","45","2","43","65","7","58"
34,"Valdres vidaregåande skule","Restaurant- og matfag","23","15","8","20","10","10","22","11","11","28","8","20","23","9","14","22","5","17","29","8","21","22","4","18","31","10","21","27","12","15","18","12","6","17","7","10","22","10","12","11","6","5"
34,"Valdres vidaregåande skule","Teknologi- og industrifag","41","40","1","52","51","1","48","47","1","55","53","2","53","52","1","53","52","1","61","59","2","75","71","4","56","52","4","54","51","3","59","54","5","62","54","8","52","47","5","70","64","6"
