"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
34,"Vinstra vidaregåande skule","Alle utdanningsprogram","472","262","210","470","261","209","450","256","194","440","243","197","472","266","206","438","244","194","426","232","194","410","225","185","397","204","193","368","201","167","369","182","187","340","189","151","345","189","156","334","183","151"
34,"Vinstra vidaregåande skule","Studieforberedende","224","92","132","242","91","151","239","88","151","229","81","148","239","85","154","238","89","149","243","87","156","223","77","146","229","66","163","203","62","141","192","61","131","155","57","98","141","39","102","142","37","105"
34,"Vinstra vidaregåande skule","Musikk, dans og drama","66","27","39","73","26","47","60","20","40","58","14","44","61","16","45","64","17","47","62","12","50","52","13","39","47","8","39","47","15","32","37","13","24","30","15","15","23","12","11","27","13","14"
34,"Vinstra vidaregåande skule","Påbygging til generell studiekompetanse","41","19","22","26","10","16","25","6","19","15","6","9","21","10","11","23","9","14","18","10","8","16","7","9","29","17","12","18","8","10","11","9","2","18","8","10","22","7","15","28","7","21"
34,"Vinstra vidaregåande skule","Studieforberedende Vg3 Medier og kommunikasjon","10","5","5","9","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Vinstra vidaregåande skule","Studiespesialisering","107","41","66","134","52","82","154","62","92","156","61","95","157","59","98","151","63","88","163","65","98","155","57","98","153","41","112","138","39","99","144","39","105","107","34","73","96","20","76","87","17","70"
34,"Vinstra vidaregåande skule","Yrkesfaglig","248","170","78","228","170","58","211","168","43","211","162","49","233","181","52","200","155","45","183","145","38","187","148","39","168","138","30","165","139","26","177","121","56","185","132","53","204","150","54","192","146","46"
34,"Vinstra vidaregåande skule","Bygg- og anleggsteknikk","50","44","6","48","47","1","44","44",NA,"52","50","2","73","70","3","64","61","3","64","62","2","53","51","2","41","39","2","51","51",NA,"48","45","3","48","45","3","58","55","3","59","56","3"
34,"Vinstra vidaregåande skule","Elektro og datateknologi","66","63","3","84","77","7","84","79","5","68","67","1","67","64","3","66","63","3","58","52","6","59","52","7","58","55","3","56","55","1","47","45","2","52","47","5","58","54","4","54","54",NA
34,"Vinstra vidaregåande skule","Helse- og oppvekstfag","34","4","30","37","1","36","37","3","34","45","4","41","45","4","41","37","3","34","29","2","27","28","2","26","24","2","22","25","3","22","40","2","38","40","3","37","44","4","40","41","5","36"
34,"Vinstra vidaregåande skule","Medier og kommunikasjon (gammel ordning)","52","18","34","20","6","14","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Vinstra vidaregåande skule","Teknologi- og industrifag","46","41","5","39","39",NA,"45","41","4","45","40","5","48","43","5","33","28","5","32","29","3","47","43","4","45","42","3","33","30","3","42","29","13","45","37","8","44","37","7","38","31","7"
