"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Færder videregående skole","Alle utdanningsprogram","638","404","234","656","416","240","606","413","193","599","394","205","613","417","196","637","441","196","623","434","189","628","434","194","677","485","192","631","447","184","658","455","203","681","479","202","701","482","219","687","512","175"
39,"Færder videregående skole","Studieforberedende","272","97","175","270","91","179","220","88","132","202","73","129","212","77","135","221","87","134","233","89","144","226","87","139","243","87","156","247","93","154","238","77","161","237","76","161","249","69","180","214","73","141"
39,"Færder videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","3","26","59","11","48","78","18","60","75","19","56","93","19","74","92","19","73","111","21","90","111","22","89","105","14","91","83","17","66"
39,"Færder videregående skole","Påbygging til generell studiekompetanse","219","83","136","214","77","137","172","79","93","161","64","97","157","67","90","153","71","82","155","71","84","151","68","83","150","68","82","155","74","81","127","56","71","126","54","72","144","55","89","131","56","75"
39,"Færder videregående skole","Studiespesialisering med formgivning","53","14","39","56","14","42","48","9","39","41","9","32","26","7","19","9","5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Færder videregående skole","Yrkesfaglig","366","307","59","386","325","61","386","325","61","397","321","76","401","340","61","416","354","62","390","345","45","402","347","55","434","398","36","384","354","30","420","378","42","444","403","41","452","413","39","473","439","34"
39,"Færder videregående skole","Bygg- og anleggsteknikk","62","60","2","71","69","2","67","62","5","71","66","5","85","81","4","95","93","2","105","101","4","126","124","2","143","139","4","130","126","4","134","124","10","143","135","8","151","143","8","150","143","7"
39,"Færder videregående skole","Design og håndverk","55","9","46","54","9","45","53","9","44","62","7","55","51","6","45","52","6","46","36","8","28","34","6","28","13",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Færder videregående skole","Elektro og datateknologi","82","80","2","91","90","1","99","98","1","98","95","3","96","95","1","114","110","4","110","108","2","92","86","6","126","123","3","106","101","5","113","106","7","129","114","15","129","115","14","129","122","7"
39,"Færder videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Færder videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA
39,"Færder videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Færder videregående skole","Teknologi- og industrifag","167","158","9","170","157","13","167","156","11","166","153","13","169","158","11","155","145","10","137","128","9","150","131","19","152","136","16","148","127","21","173","148","25","172","154","18","172","155","17","193","173","20"
