"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Gjennestad videregående skole","Alle utdanningsprogram","245","110","135","218","82","136","233","82","151","223","92","131","197","92","105","211","101","110","196","91","105","141","58","83","153","71","82","175","95","80","162","85","77","161","77","84","165","79","86","199","95","104"
39,"Gjennestad videregående skole","Studieforberedende","37","12","25","34","11","23","43","9","34","50","12","38","47","12","35","65","28","37","69","30","39","51","20","31","32","14","18","26","10","16","29","12","17","23","12","11","24","7","17","31","14","17"
39,"Gjennestad videregående skole","Påbygging til generell studiekompetanse","30","12","18","30","9","21","37","8","29","38","6","32","31","5","26","32","15","17","31","12","19","32","11","21","32","14","18","26","10","16","29","12","17","23","12","11","24","7","17","31","14","17"
39,"Gjennestad videregående skole","Studieforberedende Vg3 Naturbruk","7",NA,"7","4","2","2","6","1","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Gjennestad videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","6","6","16","7","9","33","13","20","38","18","20","19","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Gjennestad videregående skole","Yrkesfaglig","208","98","110","184","71","113","190","73","117","173","80","93","150","80","70","146","73","73","127","61","66","90","38","52","121","57","64","149","85","64","133","73","60","138","65","73","141","72","69","168","81","87"
39,"Gjennestad videregående skole","Bygg- og anleggsteknikk","34","32","2","22","20","2","29","29",NA,"30","29","1","29","29",NA,"33","33",NA,"31","30","1","24","21","3","27","24","3","65","55","10","60","50","10","56","38","18","50","41","9","48","42","6"
39,"Gjennestad videregående skole","Design og håndverk","39","1","38","30","1","29","25",NA,"25","28","1","27","17",NA,"17","31","2","29","21","2","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Gjennestad videregående skole","Helse- og oppvekstfag","39","7","32","43","4","39","47","2","45","40","4","36","39","7","32","45","13","32","43","11","32","35","4","31","46","5","41","33","3","30","26","2","24","34","4","30","37","5","32","46","3","43"
39,"Gjennestad videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10",NA
39,"Gjennestad videregående skole","Naturbruk","58","35","23","49","28","21","54","27","27","43","28","15","35","23","12","26","17","9","32","18","14","31","13","18","39","21","18","31","14","17","25","7","18","20","11","9","29","13","16","31","13","18"
39,"Gjennestad videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","7","2","20","13","7","22","14","8","28","12","16","25","13","12","33","13","20"
39,"Gjennestad videregående skole","Service og samferdsel","38","23","15","40","18","22","35","15","20","32","18","14","30","21","9","11","8","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
