"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Greveskogen videregående skole","Alle utdanningsprogram","1091","504","587","1093","513","580","1061","520","541","1034","468","566","1027","484","543","995","460","535","951","428","523","892","428","464","851","433","418","805","417","388","828","438","390","879","473","406","879","441","438","886","429","457"
39,"Greveskogen videregående skole","Studieforberedende","870","378","492","848","373","475","849","385","464","816","340","476","822","353","469","780","312","468","740","301","439","655","268","387","612","270","342","615","285","330","638","304","334","640","306","334","650","308","342","654","281","373"
39,"Greveskogen videregående skole","Musikk, dans og drama","106","33","73","101","29","72","97","36","61","98","33","65","95","34","61","97","36","61","102","41","61","95","44","51","95","39","56","97","39","58","87","35","52","81","33","48","76","33","43","78","35","43"
39,"Greveskogen videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Greveskogen videregående skole","Studiespesialisering","764","345","419","746","344","402","752","349","403","718","307","411","727","319","408","683","276","407","638","260","378","560","224","336","517","231","286","518","246","272","551","269","282","559","273","286","574","275","299","576","246","330"
39,"Greveskogen videregående skole","Yrkesfaglig","221","126","95","245","140","105","212","135","77","218","128","90","205","131","74","215","148","67","211","127","84","237","160","77","239","163","76","190","132","58","190","134","56","239","167","72","229","133","96","232","148","84"
39,"Greveskogen videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","13","4","34","29","5","54","47","7","72","63","9","73","61","12","72","66","6"
39,"Greveskogen videregående skole","Naturbruk","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Greveskogen videregående skole","Restaurant- og matfag","88","48","40","91","45","46","81","45","36","84","40","44","74","39","35","89","49","40","91","48","43","78","44","34","94","58","36","90","59","31","75","49","26","81","47","34","72","32","40","72","41","31"
39,"Greveskogen videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","36","22","66","44","22","61","38","23","86","57","29","84","40","44","88","41","47"
39,"Greveskogen videregående skole","Service og samferdsel","132","78","54","154","95","59","131","90","41","134","88","46","131","92","39","126","99","27","120","79","41","159","116","43","70","56","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
