"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Holmestrand videregående skole","Alle utdanningsprogram","292","134","158","304","159","145","293","150","143","314","157","157","265","136","129","236","114","122","252","124","128","266","168","98","235","139","96","225","129","96","220","118","102","246","118","128","257","151","106","258","142","116"
39,"Holmestrand videregående skole","Studieforberedende","160","68","92","187","88","99","183","94","89","198","89","109","183","88","95","169","78","91","173","85","88","172","101","71","152","85","67","144","83","61","128","66","62","165","80","85","146","89","57","143","78","65"
39,"Holmestrand videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","9","5","25","19","6","33","25","8","30","26","4","15","13","2","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Holmestrand videregående skole","Påbygging til generell studiekompetanse","31","10","21","32","13","19","31","13","18","32","12","20","26","12","14","28","11","17","25","9","16","20","11","9","27","12","15","23","11","12","27","14","13","38","16","22","30","14","16","38","14","24"
39,"Holmestrand videregående skole","Studiespesialisering","129","58","71","155","75","80","152","81","71","166","77","89","143","67","76","116","48","68","115","51","64","122","64","58","110","60","50","113","65","48","101","52","49","127","64","63","116","75","41","105","64","41"
39,"Holmestrand videregående skole","Yrkesfaglig","132","66","66","117","71","46","110","56","54","116","68","48","82","48","34","67","36","31","79","39","40","94","67","27","83","54","29","81","46","35","92","52","40","81","38","43","111","62","49","115","64","51"
39,"Holmestrand videregående skole","Helse- og oppvekstfag","39","11","28","26","5","21","33","5","28","29","8","21","24","5","19","30","8","22","35","6","29","38","21","17","32","15","17","34","13","21","40","13","27","33","8","25","42","8","34","59","15","44"
39,"Holmestrand videregående skole","Medier og kommunikasjon (gammel ordning)","53","27","26","46","30","16","39","24","15","43","26","17","20","13","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Holmestrand videregående skole","Restaurant- og matfag","22","11","11","24","16","8","24","15","9","25","16","9","21","14","7","21","13","8","28","18","10","36","28","8","31","19","12","25","12","13","28","18","10","29","16","13","31","21","10","15","12","3"
39,"Holmestrand videregående skole","Teknologi- og industrifag","18","17","1","21","20","1","14","12","2","19","18","1","17","16","1","16","15","1","16","15","1","20","18","2","20","20",NA,"22","21","1","24","21","3","19","14","5","38","33","5","41","37","4"
