"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Alle utdanningsprogram","1035","504","531","1068","539","529","1020","517","503","1005","519","486","1028","536","492","1063","561","502","1032","552","480"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Studieforberedende","547","244","303","593","279","314","604","290","314","601","281","320","621","280","341","647","302","345","624","311","313"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Idrettsfag","82","44","38","67","38","29","66","45","21","72","45","27","69","46","23","77","54","23","74","51","23"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","IDIDR2 - Idrettsfag vg2","21","9","12","24","15","9","17","11","6","23","17","6","27","16","11","19","12","7","26","20","6"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","IDIDR3 - Idrettsfag vg3","30","14","16","20","9","11","25","15","10","16","10","6","21","16","5","26","16","10","19","12","7"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","IDRET1 - Idrettsfag vg1","31","21","10","23","14","9","24","19","5","33","18","15","21","14","7","32","26","6","29","19","10"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","8","17","50","21","29","76","30","46"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Påbygging til generell studiekompetanse","59","24","35","61","22","39","30","9","21","31","16","15","30","15","15","33","21","12","31","16","15"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","30","3","27","31","12","19","32","8","24","32","6","26","32","10","22","31","15","16",NA,NA,NA
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Studiespesialisering","376","173","203","434","207","227","476","228","248","466","214","252","465","201","264","456","191","265","443","214","229"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Yrkesfaglig","488","260","228","475","260","215","416","227","189","404","238","166","407","256","151","416","259","157","408","241","167"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Design og håndverk","37","5","32","37","5","32","35","4","31","25","6","19","42","10","32","57","20","37","62","28","34"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Elektro og datateknologi","113","109","4","122","119","3","110","105","5","109","106","3","106","106",NA,"113","113",NA,"91","90","1"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Helse- og oppvekstfag","133","32","101","109","23","86","85","22","63","95","23","72","107","25","82","127","28","99","145","34","111"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Medier og kommunikasjon (gammel ordning)","64","15","49","65","13","52","64","13","51","63","22","41","30","12","18",NA,NA,NA,NA,NA,NA
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Service og samferdsel","106","68","38","110","69","41","93","56","37","80","51","29","91","73","18","77","57","20","82","63","19"
39,"Horten videregående skole avd Bekkegata (Nedlagt)","Teknologi- og industrifag","35","31","4","32","31","1","29","27","2","32","30","2","31","30","1","42","41","1","28","26","2"
