"fylkesnr","skole","linje","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Horten videregående skole","Alle utdanningsprogram","1067","563","504","1096","575","521","1098","524","574","1084","513","571","1083","486","597","1075","480","595","1104","487","617"
39,"Horten videregående skole","Studieforberedende","665","328","337","702","353","349","717","329","388","705","310","395","678","274","404","664","277","387","682","281","401"
39,"Horten videregående skole","Idrettsfag","84","52","32","86","53","33","91","54","37","90","55","35","91","53","38","88","54","34","87","51","36"
39,"Horten videregående skole","Medier og kommunikasjon","87","44","43","88","50","38","88","46","42","78","32","46","78","29","49","77","31","46","79","33","46"
39,"Horten videregående skole","Påbygging til generell studiekompetanse","43","19","24","55","20","35","57","22","35","54","21","33","59","19","40","58","21","37","62","17","45"
39,"Horten videregående skole","Studiespesialisering","451","213","238","473","230","243","481","207","274","483","202","281","450","173","277","441","171","270","454","180","274"
39,"Horten videregående skole","Yrkesfaglig","402","235","167","394","222","172","381","195","186","379","203","176","405","212","193","411","203","208","422","206","216"
39,"Horten videregående skole","Design og håndverk","57","20","37","25","8","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Horten videregående skole","Elektro og datateknologi","84","84",NA,"73","73",NA,"73","70","3","73","69","4","80","76","4","78","75","3","74","70","4"
39,"Horten videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,"33","3","30","47","1","46","41","1","40","52","4","48","58","4","54","60","3","57"
39,"Horten videregående skole","Helse- og oppvekstfag","154","35","119","146","30","116","146","26","120","146","31","115","143","29","114","146","20","126","153","28","125"
39,"Horten videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,"19","17","2","32","26","6","35","27","8","36","26","10","35","29","6","33","25","8"
39,"Horten videregående skole","Salg, service og reiseliv",NA,NA,NA,"34","30","4","39","34","5","39","32","7","41","29","12","42","26","16","56","37","19"
39,"Horten videregående skole","Service og samferdsel","74","64","10","31","30","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Horten videregående skole","Teknologi- og industrifag","33","32","1","33","31","2","44","38","6","45","43","2","53","48","5","52","49","3","46","43","3"
