"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Melsom videregående skole","Alle utdanningsprogram","286","79","207","288","84","204","277","93","184","245","93","152","246","86","160","230","75","155","239","79","160","205","62","143","220","73","147","204","55","149","204","51","153","205","57","148","241","69","172","225","59","166"
39,"Melsom videregående skole","Studieforberedende","61","11","50","99","10","89","113","16","97","93","15","78","122","38","84","126","39","87","133","43","90","99","23","76","106","35","71","81","26","55","86","22","64","92","22","70","93","17","76","96","10","86"
39,"Melsom videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","20","5","42","27","15","68","41","27","47","21","26","40","22","18","34","19","15","29","16","13","28","13","15","24","8","16","10","4","6"
39,"Melsom videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","9","14","21","7","14","23","5","18","26","9","17","21","9","12","31","6","25"
39,"Melsom videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","23","10","13","30","7","23","27","13","14","19","13","6","21","17","4","20","8","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Melsom videregående skole","Studieforberedende Vg3 Naturbruk","23",NA,"23","29","2","27","24","2","22","15","1","14","14","1","13","12","3","9","14","2","12","13","1","12","7","3","4","2",NA,"2","4","1","3","4",NA,"4","4",NA,"4",NA,NA,NA
39,"Melsom videregående skole","Studiespesialisering","15","1","14","40","1","39","62","1","61","59","1","58","62",NA,"62","52","1","51","51",NA,"51","39","1","38","36","1","35","24",NA,"24","30",NA,"30","34",NA,"34","44",NA,"44","55",NA,"55"
39,"Melsom videregående skole","Yrkesfaglig","225","68","157","189","74","115","164","77","87","152","78","74","124","48","76","104","36","68","106","36","70","106","39","67","114","38","76","123","29","94","118","29","89","113","35","78","148","52","96","129","49","80"
39,"Melsom videregående skole","Medier og kommunikasjon (gammel ordning)","71","27","44","73","39","34","73","49","24","69","46","23","26","13","13","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Melsom videregående skole","Naturbruk","154","41","113","116","35","81","91","28","63","83","32","51","98","35","63","103","36","67","106","36","70","106","39","67","114","38","76","123","29","94","118","29","89","113","35","78","132","39","93","105","34","71"
39,"Melsom videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","13","3","24","15","9"
