"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Sande videregående skole","Alle utdanningsprogram","502","255","247","509","254","255","463","240","223","466","229","237","448","215","233","459","224","235","455","227","228","447","236","211","409","211","198","396","192","204","393","212","181","378","208","170","381","230","151","400","233","167"
39,"Sande videregående skole","Studieforberedende","283","130","153","285","127","158","283","142","141","285","134","151","301","134","167","337","146","191","309","140","169","298","147","151","266","133","133","238","122","116","221","119","102","235","122","113","205","117","88","205","114","91"
39,"Sande videregående skole","Idrettsfag","68","48","20","65","49","16","75","52","23","79","57","22","80","51","29","73","49","24","69","46","23","66","46","20","67","48","19","62","45","17","65","49","16","63","50","13","65","51","14","49","41","8"
39,"Sande videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","8","9","39","22","17","52","30","22","50","27","23","42","21","21","33","15","18","20","10","10","7","4","3",NA,NA,NA,NA,NA,NA
39,"Sande videregående skole","Påbygging til generell studiekompetanse","28","7","21","30","10","20","25","7","18","17","3","14","19","3","16","29","10","19","20","9","11","29","17","12","15",NA,"15","16","1","15","18",NA,"18","27",NA,"27","11","1","10","17","3","14"
39,"Sande videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","23","9","14","15","5","10","14","8","6","14","3","11","12","5","7","20","7","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sande videregående skole","Studiespesialisering","164","66","98","175","63","112","169","75","94","175","71","104","173","67","106","176","58","118","168","55","113","153","57","96","142","64","78","127","61","66","118","60","58","138","68","70","129","65","64","139","70","69"
39,"Sande videregående skole","Yrkesfaglig","219","125","94","224","127","97","180","98","82","181","95","86","147","81","66","122","78","44","146","87","59","149","89","60","143","78","65","158","70","88","172","93","79","143","86","57","176","113","63","195","119","76"
39,"Sande videregående skole","Design og håndverk","22","4","18","20","3","17","16","2","14","10","2","8","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sande videregående skole","Elektro og datateknologi","45","45",NA,"48","47","1","41","40","1","44","41","3","28","26","2","43","42","1","45","44","1","46","44","2","46","42","4","45","39","6","45","43","2","46","45","1","46","46",NA,"51","51",NA
39,"Sande videregående skole","Helse- og oppvekstfag","52","4","48","58","13","45","57","10","47","55","7","48","54","7","47","49","8","41","72","15","57","74","17","57","68","9","59","88","9","79","80","7","73","61","11","50","82","22","60","85","13","72"
39,"Sande videregående skole","Medier og kommunikasjon (gammel ordning)","56","29","27","56","27","29","31","13","18","40","14","26","23","9","14","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sande videregående skole","Teknologi- og industrifag","44","43","1","42","37","5","35","33","2","32","31","1","41","39","2","29","27","2","29","28","1","29","28","1","29","27","2","25","22","3","47","43","4","36","30","6","48","45","3","59","55","4"
