"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Sandefjord videregående skole","Alle utdanningsprogram","2005","1002","1003","2083","1027","1056","2016","973","1043","1972","926","1046","2014","942","1072","1988","919","1069","1995","939","1056","1948","969","979","1993","964","1029","1903","886","1017","1943","875","1068","1996","909","1087","1925","869","1056","1996","899","1097"
39,"Sandefjord videregående skole","Studieforberedende","1330","656","674","1389","664","725","1394","637","757","1336","604","732","1352","605","747","1347","590","757","1284","579","705","1198","559","639","1212","555","657","1205","536","669","1225","530","695","1222","525","697","1147","497","650","1149","500","649"
39,"Sandefjord videregående skole","Idrettsfag","79","47","32","85","51","34","87","49","38","88","55","33","91","59","32","96","61","35","100","65","35","93","53","40","95","44","51","89","33","56","91","36","55","93","46","47","92","49","43","85","41","44"
39,"Sandefjord videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","3","26","52","9","43","64","18","46","64","24","40","69","21","48","72","12","60","75","14","61","84","17","67","69","8","61","70","12","58"
39,"Sandefjord videregående skole","Musikk, dans og drama","144","79","65","140","72","68","131","56","75","137","49","88","136","46","90","129","47","82","134","50","84","126","59","67","129","52","77","131","54","77","122","42","80","127","45","82","132","51","81","129","49","80"
39,"Sandefjord videregående skole","Påbygging til generell studiekompetanse","90","34","56","95","34","61","64","26","38","63","32","31","66","31","35","98","33","65","58","13","45","57","18","39","65","12","53","87","35","52","64","18","46","63","8","55","64","18","46","61","21","40"
39,"Sandefjord videregående skole","Studiespesialisering","942","479","463","989","490","499","1036","493","543","972","453","519","982","457","525","948","434","514","928","433","495","858","405","453","854","426","428","826","402","424","873","420","453","855","409","446","790","371","419","804","377","427"
39,"Sandefjord videregående skole","Studiespesialisering med formgivning","75","17","58","80","17","63","76","13","63","76","15","61","48","9","39","24","6","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sandefjord videregående skole","Yrkesfaglig","675","346","329","694","363","331","622","336","286","636","322","314","662","337","325","641","329","312","711","360","351","750","410","340","781","409","372","698","350","348","718","345","373","774","384","390","778","372","406","847","399","448"
39,"Sandefjord videregående skole","Design og håndverk","79","10","69","90","9","81","52","9","43","54","6","48","71","9","62","56","5","51","77","10","67","85","18","67","40","6","34","14","2","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sandefjord videregående skole","Elektro og datateknologi","65","65",NA,"70","70",NA,"70","69","1","65","65",NA,"68","66","2","63","61","2","64","60","4","63","59","4","69","66","3","68","66","2","68","67","1","64","62","2","70","63","7","76","70","6"
39,"Sandefjord videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","10","26","71","9","62","109","6","103","114","5","109","115","6","109","121","18","103"
39,"Sandefjord videregående skole","Helse- og oppvekstfag","204","19","185","207","27","180","187","31","156","192","26","166","200","25","175","210","36","174","258","51","207","256","49","207","271","49","222","246","42","204","234","33","201","241","31","210","237","28","209","274","27","247"
39,"Sandefjord videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","31",NA,"62","61","1","64","60","4","68","66","2","72","68","4","75","69","6"
39,"Sandefjord videregående skole","Restaurant- og matfag","76","45","31","73","45","28","70","42","28","77","41","36","73","48","25","52","34","18","51","32","19","55","35","20","57","36","21","28","14","14","36","19","17","41","28","13","37","23","14","44","28","16"
39,"Sandefjord videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","47","33","119","75","44","119","78","41","137","90","47","152","92","60","155","91","64"
39,"Sandefjord videregående skole","Service og samferdsel","151","110","41","151","112","39","150","98","52","158","99","59","177","120","57","171","110","61","167","121","46","195","159","36","99","80","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Sandefjord videregående skole","Teknologi- og industrifag","100","97","3","103","100","3","93","87","6","90","85","5","73","69","4","89","83","6","94","86","8","96","90","6","98","84","14","90","81","9","88","82","6","109","102","7","95","92","3","102","96","6"
