"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
39,"Thor Heyerdahl videregående skole","Alle utdanningsprogram","1667","918","749","1621","875","746","1596","829","767","1575","812","763","1595","833","762","1561","800","761","1543","794","749","1482","752","730","1513","790","723","1501","771","730","1482","777","705","1460","744","716","1485","773","712","1567","826","741"
39,"Thor Heyerdahl videregående skole","Studieforberedende","945","427","518","937","421","516","946","423","523","939","412","527","940","408","532","973","401","572","936","380","556","878","349","529","870","361","509","844","340","504","857","371","486","859","364","495","863","382","481","878","384","494"
39,"Thor Heyerdahl videregående skole","Idrettsfag","179","100","79","190","104","86","190","90","100","187","80","107","190","81","109","188","82","106","177","87","90","177","82","95","183","90","93","183","86","97","182","100","82","174","109","65","185","123","62","184","116","68"
39,"Thor Heyerdahl videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","17","9","54","30","24","84","42","42","89","47","42","86","45","41","84","43","41","80","39","41","69","29","40","44","20","24","28","11","17"
39,"Thor Heyerdahl videregående skole","Musikk, dans og drama","91","28","63","87","22","65","78","18","60","80","20","60","85","27","58","82","25","57","83","26","57","80","18","62","86","23","63","74","16","58","74","22","52","71","17","54","79","21","58","79","22","57"
39,"Thor Heyerdahl videregående skole","Påbygging til generell studiekompetanse","87","35","52","64","30","34","94","52","42","92","49","43","63","23","40","65","23","42","66","28","38","64","23","41","86","39","47","64","27","37","60","27","33","65","28","37","67","20","47","86","33","53"
39,"Thor Heyerdahl videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","26","13","13","26","16","10","22","6","16","20","9","11","23","8","15","26","10","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Thor Heyerdahl videregående skole","Studiespesialisering","562","251","311","570","249","321","562","257","305","560","254","306","553","252","301","558","231","327","526","197","329","468","179","289","429","164","265","439","168","271","461","183","278","480","181","299","488","198","290","501","202","299"
39,"Thor Heyerdahl videregående skole","Yrkesfaglig","722","491","231","684","454","230","650","406","244","636","400","236","655","425","230","588","399","189","607","414","193","604","403","201","643","429","214","657","431","226","625","406","219","601","380","221","622","391","231","689","442","247"
39,"Thor Heyerdahl videregående skole","Bygg- og anleggsteknikk","96","95","1","86","83","3","79","77","2","98","97","1","104","99","5","107","104","3","103","102","1","108","100","8","131","122","9","144","133","11","132","123","9","109","102","7","118","115","3","136","126","10"
39,"Thor Heyerdahl videregående skole","Design og håndverk","32","4","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Thor Heyerdahl videregående skole","Elektro og datateknologi","94","90","4","96","90","6","96","91","5","93","89","4","97","93","4","95","92","3","94","92","2","91","86","5","96","90","6","96","93","3","96","92","4","94","88","6","90","84","6","103","95","8"
39,"Thor Heyerdahl videregående skole","Helse- og oppvekstfag","118","24","94","129","20","109","125","13","112","133","12","121","169","29","140","163","25","138","162","30","132","154","32","122","154","22","132","141","12","129","137","18","119","138","20","118","157","22","135","162","20","142"
39,"Thor Heyerdahl videregående skole","Medier og kommunikasjon (gammel ordning)","62","24","38","64","22","42","64","26","38","55","24","31","31","13","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Thor Heyerdahl videregående skole","Restaurant- og matfag","70","48","22","63","46","17","66","34","32","50","29","21","42","27","15","37","26","11","44","30","14","52","29","23","63","42","21","72","41","31","60","34","26","46","23","23","39","19","20","58","31","27"
39,"Thor Heyerdahl videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","28","26","79","37","42","79","34","45","95","41","54","89","44","45","99","61","38"
39,"Thor Heyerdahl videregående skole","Service og samferdsel","135","99","36","137","94","43","119","73","46","113","63","50","114","73","41","102","75","27","100","69","31","88","54","34","34","24","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Thor Heyerdahl videregående skole","Teknologi- og industrifag","115","107","8","109","99","10","101","92","9","94","86","8","98","91","7","84","77","7","104","91","13","111","102","9","111","101","10","125","115","10","121","105","16","119","106","13","129","107","22","131","109","22"
