"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Akademiet Oslo","Alle utdanningsprogram","532","249","283","483","214","269","465","223","242","425","202","223","482","234","248","454","225","229","430","202","228","417","195","222","405","196","209","437","234","203","458","228","230","546","244","302","559","244","315","550","217","333"
3,"Akademiet Oslo","Studieforberedende","409","203","206","405","180","225","423","208","215","358","172","186","441","203","238","436","211","225","417","191","226","404","184","220","387","180","207","397","198","199","420","196","224","492","204","288","509","202","307","501","174","327"
3,"Akademiet Oslo","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","22","23","54","29","25","76","43","33","86","58","28","85","56","29","99","68","31","86","44","42","87","36","51","87","31","56","83","24","59"
3,"Akademiet Oslo","Påbygging til generell studiekompetanse","60","26","34","54","20","34","57","26","31","58","27","31","62","22","40","62","29","33","35","21","14","40","12","28","33","13","20","29","9","20","63","39","24","66","40","26","59","33","26","55","29","26"
3,"Akademiet Oslo","Studieforberedende Vg3 Medier og kommunikasjon","53","32","21","32","12","20","33","15","18","10","4","6","24","10","14","16","10","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Akademiet Oslo","Studiespesialisering","296","145","151","319","148","171","333","167","166","290","141","149","310","149","161","304","143","161","306","127","179","278","114","164","269","111","158","269","121","148","271","113","158","339","128","211","363","138","225","363","121","242"
3,"Akademiet Oslo","Yrkesfaglig","123","46","77","78","34","44","42","15","27","67","30","37","41","31","10","18","14","4","13","11","2","13","11","2","18","16","2","40","36","4","38","32","6","54","40","14","50","42","8","49","43","6"
3,"Akademiet Oslo","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","16","2","40","36","4","38","32","6","54","40","14","50","42","8","49","43","6"
3,"Akademiet Oslo","Medier og kommunikasjon (gammel ordning)","108","39","69","78","34","44","42","15","27","67","30","37","23","13","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Akademiet Oslo","Service og samferdsel","15","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","18",NA,"18","14","4","13","11","2","13","11","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
