"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Bjørnholt videregående skole","Alle utdanningsprogram","883","507","376","881","518","363","860","531","329","752","474","278","653","379","274","563","332","231","530","319","211","514","319","195","534","330","204","531","337","194","524","327","197","516","330","186","500","336","164","472","307","165"
3,"Bjørnholt videregående skole","Studieforberedende","518","234","284","534","255","279","537","268","269","451","230","221","478","228","250","450","219","231","410","202","208","389","194","195","392","189","203","371","180","191","327","143","184","309","135","174","279","124","155","281","123","158"
3,"Bjørnholt videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58","33","25","75","50","25","93","58","35","71","45","26","76","43","33","51","29","22","20","11","9",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Bjørnholt videregående skole","Musikk, dans og drama","55","5","50","53","9","44","38","10","28","32","7","25","15","3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Bjørnholt videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","86","51","35","71","37","34","79","33","46","50","30","20","48","22","26","50","26","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Bjørnholt videregående skole","Studiespesialisering","377","178","199","410","209","201","420","225","195","369","193","176","357","170","187","325","143","182","317","144","173","318","149","169","316","146","170","320","151","169","307","132","175","309","135","174","279","124","155","281","123","158"
3,"Bjørnholt videregående skole","Yrkesfaglig","365","273","92","347","263","84","323","263","60","301","244","57","175","151","24","113","113",NA,"120","117","3","125","125",NA,"142","141","1","160","157","3","197","184","13","207","195","12","221","212","9","191","184","7"
3,"Bjørnholt videregående skole","Bygg- og anleggsteknikk","79","79",NA,"83","82","1","60","60",NA,"56","56",NA,"3","3",NA,NA,NA,NA,"3","3",NA,"3","3",NA,"3","3",NA,"1","1",NA,NA,NA,NA,"1","1",NA,"3","3",NA,"2","2",NA
3,"Bjørnholt videregående skole","Elektro og datateknologi","106","103","3","105","103","2","134","132","2","128","128",NA,"123","122","1","113","113",NA,"117","114","3","122","122",NA,"139","138","1","131","130","1","125","123","2","128","124","4","133","133",NA,"121","121",NA
3,"Bjørnholt videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","26","2","72","61","11","78","70","8","85","76","9","68","61","7"
3,"Bjørnholt videregående skole","Medier og kommunikasjon (gammel ordning)","180","91","89","159","78","81","129","71","58","117","60","57","49","26","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
